project_id,product_name,final_object_type,route,required_source_roles,observed_source_roles,prior_binding_missing_roles,application_assigned_roles,unassigned_source_roles,prior_binding_role_coverage_ratio,application_role_coverage_ratio,source_count,strong_source_examples,source_utilization_status,source_application_priority,distinctive_component_to_bolster,how_sources_should_bolster_project,claim_boundary,next_source_application_step
native-iscproposals,Counterintelligence Surveillance Framework,research project or professional workbench,analyst_assurance,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | adversarial model | counter-source or limitation | close-read requirement,method authority | evaluation standard | source-to-output bridge,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.571,1.0,4,"National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva | No Place for Russia European Security Institutions Since 1989 Hill, William H | The Routledge Handbook of European Security Law and Policy Elena Conde et al",application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: Counterintelligence Surveillance Framework,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,research project or professional workbench,analyst_assurance,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | adversarial model | counter-source or limitation | close-read requirement,method authority | evaluation standard | source-to-output bridge,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.571,1.0,4,"National Security and Counterintelligence in the Era of Cyber Espionage Eugenie de Silva | No Place for Russia European Security Institutions Since 1989 Hill, William H | The Routledge Handbook of European Security Law and Policy Elena Conde et al",application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: Counterintelligence Surveillance Framework - Beyond Surveillance Maxi...,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,source governance or packet-routing system,master_bundle,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC | Russia's Security Policy under Putin Aglaya Snetkov | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,application-complete but close-read or bibliographic verification remains,high,Professional capability evidence-router: Credential stack + 90-day plan + Competency Tracker CSV,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,A Critical Cinema PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Critical Companion to Beowulf Andy Orchard,application-complete but close-read or bibliographic verification remains,high,Room instrument transition proof: Critical Functions Observatory - defensive UAS / critical-infrastruct...,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-crusades,Crusades and Mediterranean Order,portfolio room or research surface,muranoos,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | evaluation standard | close-read requirement,adversarial model | counter-source or limitation | source-to-output bridge,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.571,1.0,4,"The Routledge Handbook of European Security Law and Policy Elena Conde et al | No Place for Russia European Security Institutions Since 1989 Hill, William H | Routledge Handbook on Cooperation, Interdependencies and Security in the Mediterranean Elena Calandri, Karolina Golemo, Jesús Ventura Fernández | The Routledge Handbook of European Security Law and Policy Elena Conde et al (2)",application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Crusades and Mediterranean Order,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),source governance or packet-routing system,master_bundle,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | 6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown (2),application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Cumulative-patch consolidator (4 historical patch packs merged),"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,research workflow software module,muranoos,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,technical mechanism | adversarial model | counter-source or limitation,method authority | domain grounding | evaluation standard | source-to-output bridge,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.333,1.0,3,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),application-complete but close-read or bibliographic verification remains,high,Counterintelligence analytic-variable proof: Decision Advantage System - operating architecture for intelligence a...,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),retrieval or evidence-evaluation platform,poison_rag,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation,method authority | source-to-output bridge | close-read requirement,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.571,1.0,4,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC | The Oxford Handbook of Governance and Limited Statehood Thomas Risse et al | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),application-complete but close-read or bibliographic verification remains,high,Adversarial retrieval replay demonstrator,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,retrieval or evidence-evaluation platform,poison_rag,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation,method authority | source-to-output bridge | close-read requirement,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.571,1.0,5,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),application-complete but close-read or bibliographic verification remains,high,Adversarial retrieval replay demonstrator,"Use sources to define retrieval threat models, poisoning pathways, evidence-chain failure points, and evaluation gates. The proof must show trace movement from source admission through retrieval, answer formation, human review, and release decision.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,"Dialectic of Enlightenment Theodor W. Adorno et al | Dialectic of Enlightenment Theodor W. Adorno et al (2) | Beyond Hegel and Dialectic Speculation, Cult, and Comedy William Desmond",application-complete but close-read or bibliographic verification remains,high,Room instrument transition proof: Dialectic Engine,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,technical mechanism,method authority | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.2,1.0,1,,application-complete but close-read or bibliographic verification remains,high,Room instrument transition proof: Dialectic Lab,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces × 10 modes; claim-evidence-confidence governance,research workflow software module,master_bundle,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.286,1.0,2,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Doctrinally richest: 13 named subspaces × 10 modes; claim-evidence-co...,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-murano-os-handoff-2026,Doctrine Forge Codex,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Briefing-to-release proof: Doctrine Forge Codex,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,source governance or packet-routing system,master_bundle,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,domain grounding | technical mechanism | evaluation standard,method authority | adversarial model | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.286,1.0,3,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Earliest pack; high-standard 3-column delta map,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-east-asia,East Asian War and Strategic Tradition,research workflow software module,nexus,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,technical mechanism,method authority | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.2,1.0,1,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: East Asian War and Strategic Tradition,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,"This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-emt,Emergency Triage Simulator,research project or professional workbench,nexus,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.167,1.0,1,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Emergency Triage Simulator,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,domain grounding | technical mechanism | counter-source or limitation,method authority | evaluation standard | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,3,,application-complete but close-read or bibliographic verification remains,high,Room instrument transition proof: Failure Doctrine Lab,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Fifth Dimension,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,research workflow software module,master_bundle,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,,0.333,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: First fully-exploded Master_Package tree; Baltic Grey Zone materials,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,research workflow software module,master_bundle,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism,adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.286,1.0,2,A Tradecraft Primer Structured Analytic Techniques (2),application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-fractal-keep-handoff-v1,Fractal Keep,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Fractal Keep,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",research workflow software module,master_bundle,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority,technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,,0.167,1.0,1,,application-complete but close-read or bibliographic verification remains,high,"Packet promotion decision proof: Frozen ""Durable Analytical Core""; 12/13-field models per surface","Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-portfolio-index,Full Project Catalogue,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Full Project Catalogue,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.333,1.0,3,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Full portfolio build: 2 casefiles + 8-work product wargame product +...,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Glass Hearth,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Glass Scriptorium,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-murano-os-glass-station-handoff,Glass Station,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Glass Station,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Glassworks of Correspondence,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-hearthglass-handoff-v1,HearthGlass,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: HearthGlass,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: House of Light and Doom,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,research workflow software module,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.4,1.0,2,,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: Human Terrain & Statecraft,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,(Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: IC analyst portfolio build kit; skill taxonomy S01-S26,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
native-cicc,ICC Complementarity Case Room,portfolio room or research surface,muranoos,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | evaluation standard | close-read requirement,adversarial model | counter-source or limitation | source-to-output bridge,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.571,1.0,4,"The Routledge Handbook of European Security Law and Policy Elena Conde et al (2) | The Routledge Handbook of European Security Law and Policy Elena Conde et al | the routledge handbook of european security law and policy 9781138609990 9780429465918 compress | No Place for Russia European Security Institutions Since 1989 Hill, William H",application-complete but close-read or bibliographic verification remains,high,Room instrument transition proof: ICC Complementarity Case Room,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,source governance or packet-routing system,master_bundle,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,method authority | domain grounding | technical mechanism | close-read requirement,evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,,0.5,1.0,4,Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,application-complete but close-read or bibliographic verification remains,high,Packet promotion decision proof: IDDD Bibliographic Inventory,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.","This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,research workflow software module,nexus,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,technical mechanism,method authority | evaluation standard | counter-source or limitation | source-to-output bridge,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,,0.2,1.0,1,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC,application-complete but close-read or bibliographic verification remains,high,Concept-to-theory lexicon proof: IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,"This is a full-build plan, not a claim that the full operational system has already been completed.",complete top close-read note and convert the assigned role applications into output changes
