project_id,product_name,role,role_plain_name,role_status,source_candidate_to_apply,source_assignment_status,application_rule,project_specific_application,output_it_must_change,test_or_check_it_must_govern,claim_ceiling,next_artifact_to_create,public_claim_allowed_now
mb-insinuationengineroom-handoff-done,Insinuation Engine,technical mechanism,Technical mechanism,observed,International Encyclopedia of Social & Behavioral Sciences,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use International Encyclopedia of Social & Behavioral Sciences as technical mechanism for Insinuation Engine: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is Room instrument transition proof: Insinuation Engine.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-insinuationengineroom-handoff-done,Insinuation Engine,evaluation standard,Evaluation standard,missing - assigned as next application need,Encyclopedia of GIS,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use Encyclopedia of GIS as evaluation standard for Insinuation Engine: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Room instrument transition proof: Insinuation Engine.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-insinuationengineroom-handoff-done,Insinuation Engine,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,International Encyclopedia of Social & Behavioral Sciences,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use International Encyclopedia of Social & Behavioral Sciences as counter-source or limitation for Insinuation Engine: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Room instrument transition proof: Insinuation Engine.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-insinuationengineroom-handoff-done,Insinuation Engine,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,International Encyclopedia of Social & Behavioral Sciences,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use International Encyclopedia of Social & Behavioral Sciences as source-to-output bridge for Insinuation Engine: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Room instrument transition proof: Insinuation Engine.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-insinuationengineroom-handoff-done,Insinuation Engine,close-read requirement,Close-read requirement,missing - assigned as next application need,Intelligence and Information Policy for National Security: Key Terms and Concepts,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.","Use Intelligence and Information Policy for National Security: Key Terms and Concepts as close-read requirement for Insinuation Engine: Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed. The immediate application target is Room instrument transition proof: Insinuation Engine.","close-read note, citation record, passage ledger, or blocked-claim release condition",No strong citation claim is released until passage-level evidence exists.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-001,Internal Operating Support Packet 001,method authority,Method authority,observed,Hybrid Intelligence for Image Analysis and Understanding,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use Hybrid Intelligence for Image Analysis and Understanding as method authority for Internal Operating Support Packet 001: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 001.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-001,Internal Operating Support Packet 001,technical mechanism,Technical mechanism,observed,International Encyclopedia of Social & Behavioral Sciences,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use International Encyclopedia of Social & Behavioral Sciences as technical mechanism for Internal Operating Support Packet 001: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 001.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-001,Internal Operating Support Packet 001,evaluation standard,Evaluation standard,missing - assigned as next application need,Intelligence and Information Policy for National Security: Key Terms and Concepts,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use Intelligence and Information Policy for National Security: Key Terms and Concepts as evaluation standard for Internal Operating Support Packet 001: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 001.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-001,Internal Operating Support Packet 001,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,International Encyclopedia of Social & Behavioral Sciences,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use International Encyclopedia of Social & Behavioral Sciences as counter-source or limitation for Internal Operating Support Packet 001: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 001.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-001,Internal Operating Support Packet 001,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,Routledge Handbook of Forest Ecology,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use Routledge Handbook of Forest Ecology as source-to-output bridge for Internal Operating Support Packet 001: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 001.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-001,Internal Operating Support Packet 001,close-read requirement,Close-read requirement,missing - assigned as next application need,Building Imaginary Worlds,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.","Use Building Imaginary Worlds as close-read requirement for Internal Operating Support Packet 001: Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 001.","close-read note, citation record, passage ledger, or blocked-claim release condition",No strong citation claim is released until passage-level evidence exists.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-002,Internal Operating Support Packet 002,method authority,Method authority,observed,Building Imaginary Worlds,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use Building Imaginary Worlds as method authority for Internal Operating Support Packet 002: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 002.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-002,Internal Operating Support Packet 002,technical mechanism,Technical mechanism,observed,International Encyclopedia of Social & Behavioral Sciences,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use International Encyclopedia of Social & Behavioral Sciences as technical mechanism for Internal Operating Support Packet 002: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 002.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-002,Internal Operating Support Packet 002,evaluation standard,Evaluation standard,missing - assigned as next application need,Intelligence and Information Policy for National Security: Key Terms and Concepts,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use Intelligence and Information Policy for National Security: Key Terms and Concepts as evaluation standard for Internal Operating Support Packet 002: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 002.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-002,Internal Operating Support Packet 002,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,Encyclopedia of GIS,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use Encyclopedia of GIS as counter-source or limitation for Internal Operating Support Packet 002: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 002.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-002,Internal Operating Support Packet 002,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,Routledge Handbook of Forest Ecology,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use Routledge Handbook of Forest Ecology as source-to-output bridge for Internal Operating Support Packet 002: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 002.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-002,Internal Operating Support Packet 002,close-read requirement,Close-read requirement,missing - assigned as next application need,Art and Fear,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.","Use Art and Fear as close-read requirement for Internal Operating Support Packet 002: Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 002.","close-read note, citation record, passage ledger, or blocked-claim release condition",No strong citation claim is released until passage-level evidence exists.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-003,Internal Operating Support Packet 003,method authority,Method authority,observed,Intelligence and Information Policy for National Security: Key Terms and Concepts,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use Intelligence and Information Policy for National Security: Key Terms and Concepts as method authority for Internal Operating Support Packet 003: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 003.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-003,Internal Operating Support Packet 003,technical mechanism,Technical mechanism,observed,Encyclopedia of GIS,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use Encyclopedia of GIS as technical mechanism for Internal Operating Support Packet 003: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 003.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-003,Internal Operating Support Packet 003,evaluation standard,Evaluation standard,missing - assigned as next application need,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use God, Time, and Knowledge William Hasker as evaluation standard for Internal Operating Support Packet 003: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 003.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-003,Internal Operating Support Packet 003,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use God, Time, and Knowledge William Hasker as counter-source or limitation for Internal Operating Support Packet 003: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 003.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-003,Internal Operating Support Packet 003,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use God, Time, and Knowledge William Hasker as source-to-output bridge for Internal Operating Support Packet 003: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 003.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-003,Internal Operating Support Packet 003,close-read requirement,Close-read requirement,observed,"God, Time, and Knowledge William Hasker",observed_project_binding,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.","Use God, Time, and Knowledge William Hasker as close-read requirement for Internal Operating Support Packet 003: Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed. The immediate application target is item registry.","close-read note, citation record, passage ledger, or blocked-claim release condition",source test: metadata-routed sources require close reading before citation or quotation,"Metadata can justify routing and a close-read task only; it cannot support quotation, page-specific claims, or asserted findings.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-004,Internal Operating Support Packet 004,method authority,Method authority,observed,Hybrid Intelligence for Image Analysis and Understanding,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use Hybrid Intelligence for Image Analysis and Understanding as method authority for Internal Operating Support Packet 004: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 004.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-004,Internal Operating Support Packet 004,technical mechanism,Technical mechanism,observed,Building Imaginary Worlds,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use Building Imaginary Worlds as technical mechanism for Internal Operating Support Packet 004: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 004.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-004,Internal Operating Support Packet 004,evaluation standard,Evaluation standard,missing - assigned as next application need,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use God, Time, and Knowledge William Hasker as evaluation standard for Internal Operating Support Packet 004: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 004.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-004,Internal Operating Support Packet 004,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use God, Time, and Knowledge William Hasker as counter-source or limitation for Internal Operating Support Packet 004: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 004.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-004,Internal Operating Support Packet 004,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use God, Time, and Knowledge William Hasker as source-to-output bridge for Internal Operating Support Packet 004: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 004.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-004,Internal Operating Support Packet 004,close-read requirement,Close-read requirement,observed,"God, Time, and Knowledge William Hasker",observed_project_binding,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.","Use God, Time, and Knowledge William Hasker as close-read requirement for Internal Operating Support Packet 004: Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed. The immediate application target is item registry.","close-read note, citation record, passage ledger, or blocked-claim release condition",source test: metadata-routed sources require close reading before citation or quotation,"Metadata can justify routing and a close-read task only; it cannot support quotation, page-specific claims, or asserted findings.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-005,Internal Operating Support Packet 005,method authority,Method authority,observed,On the History of Film Style,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use On the History of Film Style as method authority for Internal Operating Support Packet 005: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 005.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-005,Internal Operating Support Packet 005,technical mechanism,Technical mechanism,observed,Building Imaginary Worlds,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use Building Imaginary Worlds as technical mechanism for Internal Operating Support Packet 005: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 005.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-005,Internal Operating Support Packet 005,evaluation standard,Evaluation standard,missing - assigned as next application need,Encyclopedia of World History,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use Encyclopedia of World History as evaluation standard for Internal Operating Support Packet 005: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 005.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-005,Internal Operating Support Packet 005,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,Intelligence and Information Policy for National Security: Key Terms and Concepts,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use Intelligence and Information Policy for National Security: Key Terms and Concepts as counter-source or limitation for Internal Operating Support Packet 005: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 005.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-005,Internal Operating Support Packet 005,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,International Encyclopedia of Social & Behavioral Sciences,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use International Encyclopedia of Social & Behavioral Sciences as source-to-output bridge for Internal Operating Support Packet 005: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 005.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-005,Internal Operating Support Packet 005,close-read requirement,Close-read requirement,missing - assigned as next application need,Principles of Microeconomics,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.","Use Principles of Microeconomics as close-read requirement for Internal Operating Support Packet 005: Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 005.","close-read note, citation record, passage ledger, or blocked-claim release condition",No strong citation claim is released until passage-level evidence exists.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-006,Internal Operating Support Packet 006,method authority,Method authority,observed,Art and Fear,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use Art and Fear as method authority for Internal Operating Support Packet 006: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 006.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-006,Internal Operating Support Packet 006,technical mechanism,Technical mechanism,observed,Encyclopedia of World History,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use Encyclopedia of World History as technical mechanism for Internal Operating Support Packet 006: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 006.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-006,Internal Operating Support Packet 006,evaluation standard,Evaluation standard,missing - assigned as next application need,Libraries of the Mind,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use Libraries of the Mind as evaluation standard for Internal Operating Support Packet 006: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 006.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
mb-internal-operating-support-006,Internal Operating Support Packet 006,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,Routledge Handbook of Forest Ecology,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use Routledge Handbook of Forest Ecology as counter-source or limitation for Internal Operating Support Packet 006: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Packet promotion decision proof: Internal Operating Support Packet 006.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
