project_id,product_name,prior_missing_role,candidate_source,source_assignment_status,why_it_matters,proof_component_to_strengthen,required_output,claim_risk_if_missing
mb-internal-operating-support-015,Internal Operating Support Packet 015,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 015,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-015,Internal Operating Support Packet 015,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 015,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-016,Internal Operating Support Packet 016,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 016,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-016,Internal Operating Support Packet 016,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 016,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-016,Internal Operating Support Packet 016,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 016,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-017,Internal Operating Support Packet 017,close-read requirement,Principles of Microeconomics,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 017,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-017,Internal Operating Support Packet 017,counter-source or limitation,Hybrid Intelligence for Image Analysis and Understanding,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 017,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-017,Internal Operating Support Packet 017,evaluation standard,Encyclopedia of GIS,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 017,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-017,Internal Operating Support Packet 017,source-to-output bridge,Principles of Microeconomics,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 017,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-018,Internal Operating Support Packet 018,close-read requirement,Encyclopedia of World History,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 018,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-018,Internal Operating Support Packet 018,counter-source or limitation,Building Imaginary Worlds,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 018,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-018,Internal Operating Support Packet 018,evaluation standard,On the History of Film Style,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 018,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-018,Internal Operating Support Packet 018,source-to-output bridge,On the History of Film Style,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 018,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-019,Internal Operating Support Packet 019,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 019,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-019,Internal Operating Support Packet 019,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 019,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-019,Internal Operating Support Packet 019,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 019,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-020,Internal Operating Support Packet 020,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 020,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-020,Internal Operating Support Packet 020,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 020,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-020,Internal Operating Support Packet 020,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 020,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-021,Internal Operating Support Packet 021,close-read requirement,Encyclopedia of World History,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 021,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-021,Internal Operating Support Packet 021,counter-source or limitation,Encyclopedia of GIS,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 021,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-021,Internal Operating Support Packet 021,evaluation standard,Encyclopedia of GIS,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 021,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-021,Internal Operating Support Packet 021,source-to-output bridge,Encyclopedia of World History,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 021,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-022,Internal Operating Support Packet 022,close-read requirement,Building Imaginary Worlds,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 022,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-022,Internal Operating Support Packet 022,counter-source or limitation,Intelligence and Information Policy for National Security: Key Terms and Concepts,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 022,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-022,Internal Operating Support Packet 022,evaluation standard,Peace Education From the Grassroots,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 022,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-022,Internal Operating Support Packet 022,source-to-output bridge,Routledge Handbook of Forest Ecology,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 022,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-023,Internal Operating Support Packet 023,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 023,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-023,Internal Operating Support Packet 023,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 023,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-023,Internal Operating Support Packet 023,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 023,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-024,Internal Operating Support Packet 024,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 024,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-024,Internal Operating Support Packet 024,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 024,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-024,Internal Operating Support Packet 024,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 024,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-025,Internal Operating Support Packet 025,close-read requirement,Libraries of the Mind,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 025,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-025,Internal Operating Support Packet 025,counter-source or limitation,Routledge Handbook of Forest Ecology,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 025,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-025,Internal Operating Support Packet 025,evaluation standard,Building Imaginary Worlds,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 025,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-025,Internal Operating Support Packet 025,source-to-output bridge,Hybrid Intelligence for Image Analysis and Understanding,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 025,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-026,Internal Operating Support Packet 026,close-read requirement,Hybrid Intelligence for Image Analysis and Understanding,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 026,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-026,Internal Operating Support Packet 026,counter-source or limitation,Libraries of the Mind,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 026,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-026,Internal Operating Support Packet 026,evaluation standard,Hybrid Intelligence for Image Analysis and Understanding,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 026,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-026,Internal Operating Support Packet 026,source-to-output bridge,Art and Fear,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 026,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-027,Internal Operating Support Packet 027,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 027,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-027,Internal Operating Support Packet 027,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 027,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-027,Internal Operating Support Packet 027,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 027,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-028,Internal Operating Support Packet 028,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 028,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-028,Internal Operating Support Packet 028,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 028,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-028,Internal Operating Support Packet 028,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 028,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-029,Internal Operating Support Packet 029,close-read requirement,Building Imaginary Worlds,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 029,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-029,Internal Operating Support Packet 029,counter-source or limitation,Intelligence and Information Policy for National Security: Key Terms and Concepts,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 029,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-029,Internal Operating Support Packet 029,evaluation standard,Intelligence and Information Policy for National Security: Key Terms and Concepts,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 029,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-029,Internal Operating Support Packet 029,source-to-output bridge,Principles of Microeconomics,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 029,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-030,Internal Operating Support Packet 030,close-read requirement,Art and Fear,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 030,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-030,Internal Operating Support Packet 030,counter-source or limitation,Routledge Handbook of Forest Ecology,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 030,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-030,Internal Operating Support Packet 030,evaluation standard,Libraries of the Mind,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 030,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-030,Internal Operating Support Packet 030,source-to-output bridge,Art and Fear,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 030,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-031,Internal Operating Support Packet 031,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 031,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-031,Internal Operating Support Packet 031,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 031,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-031,Internal Operating Support Packet 031,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 031,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-032,Internal Operating Support Packet 032,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 032,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-032,Internal Operating Support Packet 032,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 032,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-032,Internal Operating Support Packet 032,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 032,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-033,Internal Operating Support Packet 033,close-read requirement,Routledge Handbook of Forest Ecology,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 033,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-033,Internal Operating Support Packet 033,counter-source or limitation,Principles of Microeconomics,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 033,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-033,Internal Operating Support Packet 033,evaluation standard,Libraries of the Mind,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 033,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-033,Internal Operating Support Packet 033,source-to-output bridge,Building Imaginary Worlds,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 033,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-034,Internal Operating Support Packet 034,close-read requirement,Libraries of the Mind,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Internal Operating Support Packet 034,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-034,Internal Operating Support Packet 034,counter-source or limitation,Building Imaginary Worlds,route_pack_candidate,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 034,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-034,Internal Operating Support Packet 034,evaluation standard,On the History of Film Style,route_pack_candidate,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 034,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-034,Internal Operating Support Packet 034,source-to-output bridge,Peace Education From the Grassroots,route_pack_candidate,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 034,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-035,Internal Operating Support Packet 035,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 035,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-035,Internal Operating Support Packet 035,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 035,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-035,Internal Operating Support Packet 035,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 035,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-036,Internal Operating Support Packet 036,counter-source or limitation,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Internal Operating Support Packet 036,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-036,Internal Operating Support Packet 036,evaluation standard,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Internal Operating Support Packet 036,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
mb-internal-operating-support-036,Internal Operating Support Packet 036,source-to-output bridge,"God, Time, and Knowledge William Hasker",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Packet promotion decision proof: Internal Operating Support Packet 036,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,counter-source or limitation,"Battle Ready (2004) Clancy, Tom Nf Commanders",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: ISC Symposium Command,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,evaluation standard,"Battle Ready (2004) Clancy, Tom Nf Commanders",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: ISC Symposium Command,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
