project_id,product_name,source_application_count,passage_contract_count,source_actions_before_claim,blocked_claim_until
warrant-chamber,Source & Evidence Review - tracking what supports each claim and what still needs review,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-trilogy-showcase,Book Trilogy Showcase,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,7,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),7,5,"Complete 5 close-read contract(s), update 15 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,7,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
row3,"AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-aigov-nav,AI Governance Navigator,6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-aiintel-cycle,AI Intelligence Cycle,6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-aiknowledge-prod,AI Knowledge Production,6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-aimodel-assess,AI Model Assessment,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-aiosintnarr,AI OSINT Narrative Analysis,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-aiprompt-eng,AI Prompt Engineering,6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-aishared-instruments,AI Shared Instruments,7,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-aisatvis,AI Structured Analysis Visualization,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-applied-history-lab,Applied History Lab,6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,8,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),7,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-capstone-defense,Cognitive Firewalls Capstone Defense,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-capstone-defense-noland,Cognitive Firewalls Defense Room,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,7,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-london,Colonial Archive Explorer,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,7,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,7,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,8,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),8,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
planning,"Development Process - how projects move from idea to built, reviewed work",6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,7,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-fractal-keep-handoff-v1,Fractal Keep,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-portfolio-index,Full Project Catalogue,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-hearthglass-handoff-v1,HearthGlass,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-insinuationengineroom-handoff-done,Insinuation Engine,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-master-bundle-pages,Master Bundle Pages,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,7,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,6,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
row1,Quantitative Capstone - quantitative arm of the AI-corruption capstone study,6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-capstone-quantitative,Quantitative Capstone Workbench,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,8,0,"Carry 8 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,7,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,8,0,"Carry 8 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,7,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,7,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-001,Internal Operating Support Packet 001,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-002,Internal Operating Support Packet 002,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-003,Internal Operating Support Packet 003,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-004,Internal Operating Support Packet 004,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-005,Internal Operating Support Packet 005,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-006,Internal Operating Support Packet 006,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-007,Internal Operating Support Packet 007,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-008,Internal Operating Support Packet 008,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-009,Internal Operating Support Packet 009,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-010,Internal Operating Support Packet 010,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-011,Internal Operating Support Packet 011,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-012,Internal Operating Support Packet 012,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-013,Internal Operating Support Packet 013,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-014,Internal Operating Support Packet 014,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-015,Internal Operating Support Packet 015,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-016,Internal Operating Support Packet 016,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-017,Internal Operating Support Packet 017,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-018,Internal Operating Support Packet 018,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-019,Internal Operating Support Packet 019,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-020,Internal Operating Support Packet 020,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-021,Internal Operating Support Packet 021,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-022,Internal Operating Support Packet 022,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-023,Internal Operating Support Packet 023,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-024,Internal Operating Support Packet 024,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-025,Internal Operating Support Packet 025,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-026,Internal Operating Support Packet 026,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-027,Internal Operating Support Packet 027,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-028,Internal Operating Support Packet 028,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-029,Internal Operating Support Packet 029,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-030,Internal Operating Support Packet 030,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-031,Internal Operating Support Packet 031,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-032,Internal Operating Support Packet 032,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-033,Internal Operating Support Packet 033,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-034,Internal Operating Support Packet 034,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-035,Internal Operating Support Packet 035,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-internal-operating-support-036,Internal Operating Support Packet 036,6,3,"Complete 3 close-read contract(s), update 9 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),6,2,"Complete 2 close-read contract(s), update 6 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
project-hardening,"Quality Review - checking project claims against evidence, scope, and readiness",6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-trilogy-showcase-atlas,Book Trilogy Atlas,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,7,4,"Complete 4 close-read contract(s), update 12 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-analyst-assurance-desk,Analyst Assurance Desk,6,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-aifailure-tax,AI Failure Taxonomy,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-wargaming,Alliance Crisis Wargaming,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-atanalysis,Analysis Tradecraft,5,0,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),5,1,"Complete 1 close-read contract(s), update 3 linked proof-capsule field(s), and preserve the current claim ceiling until passage notes exist.",the active close-read contracts have verified passage notes and linked proof-capsule updates
native-cmanalysis,Collection Management Analysis,5,0,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
row8,Counter-Terror Analysis - 13-page counter-terror analytical narrative arc,5,0,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
