project_id,product_name,object_family,previous_status,new_status,fully_operational_after_capture,remaining_requirement,capture_href
mb-internal-operating-support-021,Internal Operating Support Packet 021,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-021/index.html
mb-internal-operating-support-022,Internal Operating Support Packet 022,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-022/index.html
mb-internal-operating-support-025,Internal Operating Support Packet 025,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-025/index.html
mb-internal-operating-support-026,Internal Operating Support Packet 026,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-026/index.html
mb-internal-operating-support-029,Internal Operating Support Packet 029,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-029/index.html
mb-internal-operating-support-030,Internal Operating Support Packet 030,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-030/index.html
mb-internal-operating-support-033,Internal Operating Support Packet 033,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-033/index.html
mb-internal-operating-support-034,Internal Operating Support Packet 034,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-internal-operating-support-034/index.html
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-redteamlab-proper-handoff-package-2026-04-14/index.html
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),manuscript/publication,kit_built_execution_not_yet_captured,package_capture_completed_editorial_review_pending,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution.",capture_packets/mb-rfp-handoff-ch01-02-done/index.html
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-wargaming-handoff-pass1/index.html
native-applied-history-lab,Applied History Lab,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-applied-history-lab/index.html
native-emt,Emergency Triage Simulator,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-emt/index.html
native-habitat,Volunteer Build-Day Coordination,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-habitat/index.html
native-master-bundle-pages,Master Bundle Pages,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-master-bundle-pages/index.html
native-pharm,Vaccine Distribution Planner,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-pharm/index.html
native-respite,Recovery Respite Facility Operations,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-respite/index.html
native-uscri,Refugee Resettlement Resource Allocation,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-uscri/index.html
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/red-team-lab/index.html
