project_id,project_name,project_kind,build_mode,runtime_target,instrument_count,acceptance_test_count,stateful_runtime,exportable_receipt,package_runtime_status,full_underlying_system_complete,claim_boundary
mb-internal-operating-support-020,Internal Operating Support Packet 020,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-023,Internal Operating Support Packet 023,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-024,Internal Operating Support Packet 024,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-027,Internal Operating Support Packet 027,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-028,Internal Operating Support Packet 028,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-031,Internal Operating Support Packet 031,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-032,Internal Operating Support Packet 032,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-035,Internal Operating Support Packet 035,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-036,Internal Operating Support Packet 036,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-atanalysis,Analysis Tradecraft,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-cianalysis,Counterintelligence Analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-cmanalysis,Collection Management Analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-coanalysis,Counterintelligence Operations Analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-cyanalysis,Cyber Analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-ddianalysis,Directorate Analysis Method,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-etanalysis,Emerging Technology Analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-fwanalysis,Foreign Warning Analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-icanalysis,Intelligence Community Analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-portfolio-index,Full Project Catalogue,archive / packet router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-psanalysis,Political Strategy Analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
personal-os,"Personal OS - MuranoOS, a personal operating system, local workbench, and project foundation",software operating environment,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row8,Counter-Terror Analysis - 13-page counter-terror analytical narrative arc,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),master-bundle artifact / archive router,manuscript and publication system,static and data-backed chapter dossier system,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,archive / packet router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-fractal-keep-handoff-v1,Fractal Keep,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-infragard-handoff,InfraGard preparatory note (minimal),master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,5,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-insinuationengineroom-handoff-done,Insinuation Engine,master-bundle artifact / archive router,software or application build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-001,Internal Operating Support Packet 001,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-002,Internal Operating Support Packet 002,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-005,Internal Operating Support Packet 005,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-006,Internal Operating Support Packet 006,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-009,Internal Operating Support Packet 009,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-010,Internal Operating Support Packet 010,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-013,Internal Operating Support Packet 013,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-014,Internal Operating Support Packet 014,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-017,Internal Operating Support Packet 017,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-018,Internal Operating Support Packet 018,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-021,Internal Operating Support Packet 021,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-022,Internal Operating Support Packet 022,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-025,Internal Operating Support Packet 025,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-026,Internal Operating Support Packet 026,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-029,Internal Operating Support Packet 029,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-030,Internal Operating Support Packet 030,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-033,Internal Operating Support Packet 033,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-034,Internal Operating Support Packet 034,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-build02-final-proper-handoff-2026-04-11,Only one WITHOUT the 802 KB nested archive; Build 02 scope,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-continuation-handoff-2026-04-11,Smallest addendum wrapper; 5-surface Core Analytical Workflow,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-execution-ready-handoff-archive-2026-04-11,Only one with Build_02-Build_05 sequenced operator guides,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-package-gpt-synth-2026-04-18,"Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks from red_team_* spine)",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-lab-continuation-handoff-pack-2026-04-14,Introduces Vivarium codename; contradiction-graph table,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-lab-handoff-package-2026-04-17,"Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Workspace Restore""",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-phase-ii-handoff-2026-04-15,Smallest doc-pack; paired .md + .rs/.ts draft patches,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-phase-iii-a-handoff-2026-04-11,"Only one with Shadi_SAT_Seed.json + ""Phase III-A"" naming",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-phaseii-handoff-2026-04-14,Posture Compass 5-axis instrument; framing_tensions/rival_framing columns,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-package-2026-04-11,Only one with 07_Derivative_Handoff/; richest SQL DDL,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-tranche-ii-handoff-pack-2026-04-15,"Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-tranche1-handoff-package-2026-04-11,Leanest blueprint-only; only with named rollback doc,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-redteam-rc1-2026-04-14,RC1 wrapper; front-loaded 00_RC_Handoff/,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-applied-history-lab,Applied History Lab,archive / packet router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-emt,Emergency Triage Simulator,operational simulation / planning tool,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-habitat,Volunteer Build-Day Coordination,operational simulation / planning tool,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-master-bundle-pages,Master Bundle Pages,archive / packet router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-pharm,Vaccine Distribution Planner,operational simulation / planning tool,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-respite,Recovery Respite Facility Operations,operational simulation / planning tool,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-uscri,Refugee Resettlement Resource Allocation,operational simulation / planning tool,source governance build,structured public page plus project-specific data packet and proof runner,4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
project-hardening,"Quality Review - checking project claims against evidence, scope, and readiness",public project blueprint,source governance build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),master-bundle artifact / archive router,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-chamber-handoff,Chamber of Refractions,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-chamber-of-record-handoff,Chamber of Record,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-codex-prism-handoff-v1,Codex Prism,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-glass-station-handoff,Glass Station,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-handoff-2026,Doctrine Forge Codex,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-prism-foundry-handoff,Prism Foundry,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-prism-scriptorium-handoff-v1,Prism Scriptorium,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-prismatic-agora-handoff-v1-0-done,Prismatic Agora,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-room-handoff-v1,Room template v1,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-speechcraft-studio-handoff,Speechcraft Studio,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,master-bundle artifact / archive router,software or application build,local-first web application or desktop module with persistent project state,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
