project_id,project_title,project_kind,proof_tier,component_count,quality_gate_counts,upgrade_class_counts,source_strategy,distinctiveness_component_to_build,distinctiveness_component_operation,distinctiveness_component_output,acceptance_test,best_improvement,build_status
mb-internal-operating-support-018,Internal Operating Support Packet 018,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-019,Internal Operating Support Packet 019,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-020,Internal Operating Support Packet 020,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-021,Internal Operating Support Packet 021,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-022,Internal Operating Support Packet 022,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-023,Internal Operating Support Packet 023,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-024,Internal Operating Support Packet 024,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-025,Internal Operating Support Packet 025,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-026,Internal Operating Support Packet 026,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-027,Internal Operating Support Packet 027,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-028,Internal Operating Support Packet 028,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-029,Internal Operating Support Packet 029,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-030,Internal Operating Support Packet 030,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-031,Internal Operating Support Packet 031,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-032,Internal Operating Support Packet 032,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-033,Internal Operating Support Packet 033,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-034,Internal Operating Support Packet 034,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-035,Internal Operating Support Packet 035,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-internal-operating-support-036,Internal Operating Support Packet 036,master-bundle artifact / archive router,limited-proof-or-private-abstraction,7,READY_FOR_CAPTURE: 7,promotion-routing proof: 7,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",limited public proof; needs stronger public-safe abstraction or new demonstrator
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-chamber-handoff,Chamber of Refractions,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-chamber-of-record-handoff,Chamber of Record,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-codex-prism-handoff-v1,Codex Prism,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-os-glass-station-handoff,Glass Station,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-os-handoff-2026,Doctrine Forge Codex,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to test retrieval as scholarly warrant rather than as fluent search. The proof must show corpus boundary, retrieved passage, evidence score, negative-space finding, abstention case, and claim boundary.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-os-prism-foundry-handoff,Prism Foundry,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-os-prism-scriptorium-handoff-v1,Prism Scriptorium,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-prismatic-agora-handoff-v1-0-done,Prismatic Agora,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-room-handoff-v1,Room template v1,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-murano-speechcraft-studio-handoff,Speechcraft Studio,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,master-bundle artifact / archive router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
