task_id,priority,project_id,project_title,source_role,source_title,close_read_question,passage_target_needed,proof_component_to_strengthen,expected_output,claim_unlocked_if_completed
CR-0177,P1,mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0178,P1,mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0179,P1,mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",domain grounding,Atlas of World Architecture Markus Sebastian Braun,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0180,P1,mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",method authority,Atlas of World Architecture Markus Sebastian Braun (2),"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0181,P1,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0182,P1,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0183,P1,mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0184,P1,mb-murano-chamber-of-record-handoff,Chamber of Record,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0185,P1,mb-murano-chamber-of-record-handoff,Chamber of Record,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0186,P1,mb-murano-chamber-of-record-handoff,Chamber of Record,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0187,P1,mb-murano-chamber-handoff,Chamber of Refractions,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0188,P1,mb-murano-chamber-handoff,Chamber of Refractions,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0189,P1,mb-murano-chamber-handoff,Chamber of Refractions,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0190,P1,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),method authority,043 Historical Documents Harvard Classics PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0191,P1,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),technical mechanism,Documents on the Rape of Nanking Timothy Brook,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0192,P1,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),domain grounding,Documents on the Rape of Nanking Timothy Brook PDOC,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0193,P1,mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0194,P1,mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0195,P1,mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0196,P1,mb-murano-codex-prism-handoff-v1,Codex Prism,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0197,P1,mb-murano-codex-prism-handoff-v1,Codex Prism,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0198,P1,mb-murano-codex-prism-handoff-v1,Codex Prism,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0199,P1,mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0200,P1,mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,domain grounding,Cognitive Linguistics Basic Readings Dirk Geeraerts,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0201,P1,mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,method authority,Cognitive Linguistics Basic Readings Dirk Geeraerts (2),"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0202,P1,mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),method authority,043 Historical Documents Harvard Classics PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0203,P1,mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),technical mechanism,Documents on the Rape of Nanking Timothy Brook,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0204,P1,mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),domain grounding,Documents on the Rape of Nanking Timothy Brook PDOC,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0205,P1,mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0206,P1,mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0207,P1,mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0208,P1,mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0209,P1,mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0210,P1,mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0211,P1,mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,technical mechanism,"Gancels Culinary Encyclopedia of Modern Cooking 1920 Gancel, Joseph. [from old catalog]","What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0212,P1,mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,domain grounding,043 Historical Documents Harvard Classics PDOC,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0213,P1,mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,method authority,Baking and Pastry Mastering the Art and Craft Culinary Institute Of America,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0214,P1,mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces × 10 modes; claim-evidence-confidence governance,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0215,P1,mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces × 10 modes; claim-evidence-confidence governance,domain grounding,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0216,P1,mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces × 10 modes; claim-evidence-confidence governance,method authority,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0217,P1,mb-murano-os-handoff-2026,Doctrine Forge Codex,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0218,P1,mb-murano-os-handoff-2026,Doctrine Forge Codex,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0219,P1,mb-murano-os-handoff-2026,Doctrine Forge Codex,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0220,P1,mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0221,P1,mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,counter-source or limitation,Documents on the Rape of Nanking Timothy Brook,"What claim must be narrowed, qualified, or held back unless further evidence appears?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0222,P1,mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,domain grounding,Documents on the Rape of Nanking Timothy Brook PDOC,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0223,P1,mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0224,P1,mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0225,P1,mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0226,P1,mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0227,P1,mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0228,P1,mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0229,P1,mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0230,P1,mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,domain grounding,A Tradecraft Primer Structured Analytic Techniques,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0231,P1,mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,method authority,A Tradecraft Primer Structured Analytic Techniques (2),"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0232,P1,mb-fractal-keep-handoff-v1,Fractal Keep,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0233,P1,mb-fractal-keep-handoff-v1,Fractal Keep,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0234,P1,mb-fractal-keep-handoff-v1,Fractal Keep,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0235,P1,mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",method authority,043 Historical Documents Harvard Classics PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0236,P1,mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",technical mechanism,Documents on the Rape of Nanking Timothy Brook,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0237,P1,mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",domain grounding,Documents on the Rape of Nanking Timothy Brook PDOC,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0238,P1,mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,technical mechanism,043 Historical Documents Harvard Classics PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0239,P1,mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,domain grounding,Documents on the Rape of Nanking Timothy Brook,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
