crosswalk_id,project_id,project_title,component,component_source_role,assigned_source_candidate,source_use_action,close_read_task,proof_gate_check,claim_ceiling,current_source_status
CW-0704,mb-internal-operating-support-008,Internal Operating Support Packet 008,Internal Operating Support Packet 008 Current Claim Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 008 Current Claim Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 008 Current Claim Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0705,mb-internal-operating-support-008,Internal Operating Support Packet 008,Internal Operating Support Packet 008 Review Queue,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 008 Review Queue.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 008 Review Queue.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0706,mb-internal-operating-support-009,Internal Operating Support Packet 009,Internal Operating Support Packet 009 Public Abstraction Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 009 Public Abstraction Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 009 Public Abstraction Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0707,mb-internal-operating-support-009,Internal Operating Support Packet 009,Internal Operating Support Packet 009 Continuity Function,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 009 Continuity Function.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 009 Continuity Function.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0708,mb-internal-operating-support-009,Internal Operating Support Packet 009,Internal Operating Support Packet 009 Project Linkage,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 009 Project Linkage.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 009 Project Linkage.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0709,mb-internal-operating-support-009,Internal Operating Support Packet 009,Internal Operating Support Packet 009 Privacy And Appropriateness Gate,domain grounding,Documents on the Rape of Nanking Timothy Brook,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Internal Operating Support Packet 009 Privacy And Appropriateness Gate.,"Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 009 Privacy And Appropriateness Gate.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0710,mb-internal-operating-support-009,Internal Operating Support Packet 009,Internal Operating Support Packet 009 Evidence Surface,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 009 Evidence Surface.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 009 Evidence Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0711,mb-internal-operating-support-009,Internal Operating Support Packet 009,Internal Operating Support Packet 009 Current Claim Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 009 Current Claim Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 009 Current Claim Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0712,mb-internal-operating-support-009,Internal Operating Support Packet 009,Internal Operating Support Packet 009 Review Queue,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 009 Review Queue.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 009 Review Queue.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0713,mb-internal-operating-support-010,Internal Operating Support Packet 010,Internal Operating Support Packet 010 Public Abstraction Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 010 Public Abstraction Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 010 Public Abstraction Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0714,mb-internal-operating-support-010,Internal Operating Support Packet 010,Internal Operating Support Packet 010 Continuity Function,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 010 Continuity Function.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 010 Continuity Function.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0715,mb-internal-operating-support-010,Internal Operating Support Packet 010,Internal Operating Support Packet 010 Project Linkage,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 010 Project Linkage.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 010 Project Linkage.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0716,mb-internal-operating-support-010,Internal Operating Support Packet 010,Internal Operating Support Packet 010 Privacy And Appropriateness Gate,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 010 Privacy And Appropriateness Gate.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 010 Privacy And Appropriateness Gate.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0717,mb-internal-operating-support-010,Internal Operating Support Packet 010,Internal Operating Support Packet 010 Evidence Surface,domain grounding,Documents on the Rape of Nanking Timothy Brook,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Internal Operating Support Packet 010 Evidence Surface.,"Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 010 Evidence Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0718,mb-internal-operating-support-010,Internal Operating Support Packet 010,Internal Operating Support Packet 010 Current Claim Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 010 Current Claim Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 010 Current Claim Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0719,mb-internal-operating-support-010,Internal Operating Support Packet 010,Internal Operating Support Packet 010 Review Queue,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 010 Review Queue.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 010 Review Queue.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0720,mb-internal-operating-support-011,Internal Operating Support Packet 011,Internal Operating Support Packet 011 Public Abstraction Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 011 Public Abstraction Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 011 Public Abstraction Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0721,mb-internal-operating-support-011,Internal Operating Support Packet 011,Internal Operating Support Packet 011 Continuity Function,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 011 Continuity Function.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 011 Continuity Function.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0722,mb-internal-operating-support-011,Internal Operating Support Packet 011,Internal Operating Support Packet 011 Project Linkage,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 011 Project Linkage.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 011 Project Linkage.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0723,mb-internal-operating-support-011,Internal Operating Support Packet 011,Internal Operating Support Packet 011 Privacy And Appropriateness Gate,close-read requirement,"God, Time, and Knowledge William Hasker","Perform passage-level review before turning this source into a citation, quotation, or strong public claim. Component under review: Internal Operating Support Packet 011 Privacy And Appropriateness Gate.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 011 Privacy And Appropriateness Gate.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","Metadata can justify routing and a close-read task only; it cannot support quotation, page-specific claims, or asserted findings.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0724,mb-internal-operating-support-011,Internal Operating Support Packet 011,Internal Operating Support Packet 011 Evidence Surface,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 011 Evidence Surface.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 011 Evidence Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0725,mb-internal-operating-support-011,Internal Operating Support Packet 011,Internal Operating Support Packet 011 Current Claim Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 011 Current Claim Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 011 Current Claim Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0726,mb-internal-operating-support-011,Internal Operating Support Packet 011,Internal Operating Support Packet 011 Review Queue,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 011 Review Queue.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 011 Review Queue.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0727,mb-internal-operating-support-012,Internal Operating Support Packet 012,Internal Operating Support Packet 012 Public Abstraction Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 012 Public Abstraction Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 012 Public Abstraction Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0728,mb-internal-operating-support-012,Internal Operating Support Packet 012,Internal Operating Support Packet 012 Continuity Function,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 012 Continuity Function.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 012 Continuity Function.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0729,mb-internal-operating-support-012,Internal Operating Support Packet 012,Internal Operating Support Packet 012 Project Linkage,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 012 Project Linkage.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 012 Project Linkage.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0730,mb-internal-operating-support-012,Internal Operating Support Packet 012,Internal Operating Support Packet 012 Privacy And Appropriateness Gate,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 012 Privacy And Appropriateness Gate.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 012 Privacy And Appropriateness Gate.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0731,mb-internal-operating-support-012,Internal Operating Support Packet 012,Internal Operating Support Packet 012 Evidence Surface,close-read requirement,"God, Time, and Knowledge William Hasker","Perform passage-level review before turning this source into a citation, quotation, or strong public claim. Component under review: Internal Operating Support Packet 012 Evidence Surface.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 012 Evidence Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","Metadata can justify routing and a close-read task only; it cannot support quotation, page-specific claims, or asserted findings.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0732,mb-internal-operating-support-012,Internal Operating Support Packet 012,Internal Operating Support Packet 012 Current Claim Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 012 Current Claim Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 012 Current Claim Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0733,mb-internal-operating-support-012,Internal Operating Support Packet 012,Internal Operating Support Packet 012 Review Queue,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 012 Review Queue.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 012 Review Queue.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0734,mb-internal-operating-support-013,Internal Operating Support Packet 013,Internal Operating Support Packet 013 Public Abstraction Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 013 Public Abstraction Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 013 Public Abstraction Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0735,mb-internal-operating-support-013,Internal Operating Support Packet 013,Internal Operating Support Packet 013 Continuity Function,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 013 Continuity Function.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 013 Continuity Function.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0736,mb-internal-operating-support-013,Internal Operating Support Packet 013,Internal Operating Support Packet 013 Project Linkage,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 013 Project Linkage.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 013 Project Linkage.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0737,mb-internal-operating-support-013,Internal Operating Support Packet 013,Internal Operating Support Packet 013 Privacy And Appropriateness Gate,domain grounding,Documents on the Rape of Nanking Timothy Brook,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Internal Operating Support Packet 013 Privacy And Appropriateness Gate.,"Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 013 Privacy And Appropriateness Gate.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0738,mb-internal-operating-support-013,Internal Operating Support Packet 013,Internal Operating Support Packet 013 Evidence Surface,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 013 Evidence Surface.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 013 Evidence Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0739,mb-internal-operating-support-013,Internal Operating Support Packet 013,Internal Operating Support Packet 013 Current Claim Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 013 Current Claim Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 013 Current Claim Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0740,mb-internal-operating-support-013,Internal Operating Support Packet 013,Internal Operating Support Packet 013 Review Queue,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 013 Review Queue.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 013 Review Queue.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0741,mb-internal-operating-support-014,Internal Operating Support Packet 014,Internal Operating Support Packet 014 Public Abstraction Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 014 Public Abstraction Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 014 Public Abstraction Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0742,mb-internal-operating-support-014,Internal Operating Support Packet 014,Internal Operating Support Packet 014 Continuity Function,method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 014 Continuity Function.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 014 Continuity Function.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0743,mb-internal-operating-support-014,Internal Operating Support Packet 014,Internal Operating Support Packet 014 Project Linkage,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 014 Project Linkage.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 014 Project Linkage.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0744,mb-internal-operating-support-014,Internal Operating Support Packet 014,Internal Operating Support Packet 014 Privacy And Appropriateness Gate,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 014 Privacy And Appropriateness Gate.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 014 Privacy And Appropriateness Gate.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0745,mb-internal-operating-support-014,Internal Operating Support Packet 014,Internal Operating Support Packet 014 Evidence Surface,domain grounding,Documents on the Rape of Nanking Timothy Brook,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Internal Operating Support Packet 014 Evidence Surface.,"Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 014 Evidence Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0746,mb-internal-operating-support-014,Internal Operating Support Packet 014,Internal Operating Support Packet 014 Current Claim Boundary,technical mechanism,043 Historical Documents Harvard Classics PDOC,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 014 Current Claim Boundary.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Internal Operating Support Packet 014 Current Claim Boundary.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
