project_id,project_title,project_kind,proof_tier,source_priority,source_strategy,component_count,routed_source_count,source_role_coverage,top_source_candidates,source_gap,next_source_actions,claim_rule
russia-desk,Russia Desk - two-page Russian intelligence-and-history analytical desk,analysis method / workstation,specified-proof-plan-needs-demo,P0,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",8,12,5,Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC | 6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | OceanofPDF.com The Oxford Handbook of Acceptance and Commitment Therapy Michael P Twohig PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Atlas of World Architecture Markus Sebastian Braun | Atlas of World Architecture Markus Sebastian Braun (2) | Atlas of World Architecture PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-chamber-of-record-handoff,Chamber of Record,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-chamber-handoff,Chamber of Refractions,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Central and Eastern European Perspectives on International Relations Viatcheslav Morozov auth Russias Postcolonial Identity A Subaltern Empire in a Eurocentric World Palgrave Macmi,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-codex-prism-handoff-v1,Codex Prism,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Cognitive Linguistics Basic Readings Dirk Geeraerts | Cognitive Linguistics Basic Readings Dirk Geeraerts (2) | Cognitive Linguistics Dirk Geeraerts PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Artificial Intelligence in Creative Industries Psychological and Social Implications Caterina Moruzzi,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | 10. 222057482 Step By Step Massage Therapy Protocols for Common Conditions 2012 PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Frank A. Stengel The Politics of Military Force (University of Michigan Press 2020) Introduction and references,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"Gancels Culinary Encyclopedia of Modern Cooking 1920 Gancel, Joseph. [from old catalog] | 043 Historical Documents Harvard Classics PDOC | Baking and Pastry Mastering the Art and Craft Culinary Institute Of America | Baking and Pastry Mastering the Art and Craft Culinary Institute Of America (2)","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) | Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-os-handoff-2026,Doctrine Forge Codex,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Military Operations Doctrine Division,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Military Operations Doctrine Division,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Handbook of War Studies III The Intrastate Dimension Manus I. Midlarsky,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Dod manual written materials v1,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2) | A Tradecraft Primer Structured Analytic Techniques PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-fractal-keep-handoff-v1,Fractal Keep,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Beekeeping for Dummies David Wiscombe et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Afghanistan Thomas Barfield,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | The Putin Interviews Putin PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-os-glass-station-handoff,Glass Station,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-hearthglass-handoff-v1,HearthGlass,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-insinuationengineroom-handoff-done,Insinuation Engine,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-lab-continuation-handoff-pack-2026-04-14,Introduces Vivarium codename; contradiction-graph table,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | All Options on the Table Leaders, Preventive War, and Nuclear Proliferation Rachel Elizabeth Whitlark","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,"043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Battle Ready (2004) Clancy, Tom Nf Commanders","passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Judgment in Moscow Vladimir Bukovsky,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | (Military Profiles) Dennis Showalter William J. Astore Hindenburg Icon of German Militarism Potomac Books Inc. (2005) PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-lab-handoff-package-2026-04-17,"Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Workspace Restore""",master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | (Military Profiles) Dennis Showalter William J. Astore Hindenburg Icon of German Militarism Potomac Books Inc. (2005) PDOC,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-red-team-tranche1-handoff-package-2026-04-11,Leanest blueprint-only; only with named rollback doc,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | A Map Is Only One Story Nicole Chung,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Brief Answers to the Big Questions by Stephen Hawking | Brief Answers to the Big Questions by Stephen Hawking (2021 01 02 03 51 07 UTC) | Documents on the Rape of Nanking Timothy Brook,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,master-bundle artifact / archive router,source-backed-proof-build,P1,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",17,6,4,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al,"passage-level close reading still required before quotation, page-specific citation, or strong literature-positioning claim",1. close-read the first method/domain/evaluation candidates; 2. bind one passage-level source to the highest-value component; 3. update the proof receipt with source-derived acceptance criteria,Title-level routing can strengthen project planning and proof design. Public claims require project evidence or passage-level source confirmation.
