project_id,product_name,final_object_type,capsule_count,stage_distribution,execution_ready_capsules,instrumented_capsules,source_application_status,source_roles_assigned,distinctive_component_to_capture,what_distinctive_component_must_prove,observable_distinctive_output,next_project_proof_build,claim_boundary
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",research workflow software module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,"Counterintelligence analytic-variable proof: Regional Studies - eight place-based analytical pages (Africa, Berlin...","Take one intelligence or counterintelligence artifact from Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia,... and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-russia,Russia,research workflow software module,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Counterintelligence analytic-variable proof: Russia,"Take one intelligence or counterintelligence artifact from Russia and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Counterintelligence analytic-variable proof: Russian-studies bibliography + reflexive meta-analysis session,"Take one intelligence or counterintelligence artifact from Russian-studies bibliography + reflexive meta-analysis session and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-peace,Track II Diplomacy and Peacebuilding,portfolio room or research surface,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Track II Diplomacy and Peacebuilding,"Select one artifact from Track II Diplomacy and Peacebuilding and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-war-theory,War Theory and Strategic Culture,portfolio room or research surface,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: War Theory and Strategic Culture,"Select one artifact from War Theory and Strategic Culture and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,research project or professional workbench,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Wargaming - theater-level alliance-crisis wargame workbench,"Select one artifact from Wargaming - theater-level alliance-crisis wargame workbench and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-amfp,Washington-Jefferson Era Foreign Policy,portfolio room or research surface,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Washington-Jefferson Era Foreign Policy,"Select one artifact from Washington-Jefferson Era Foreign Policy and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-western,Western Political Thought and the Ideal State,research workflow software module,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Western Political Thought and the Ideal State,"Select one artifact from Western Political Thought and the Ideal State and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,research workflow software module,17,execution-ready proof capsule: 16 | instrumented proof capsule awaiting live capture: 1,16,1,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Counterintelligence analytic-variable proof: Decision Advantage System - operating architecture for intelligence a...,"Take one intelligence or counterintelligence artifact from Decision Advantage System - operating architecture for intelligence and security... and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source governance or packet-routing system,17,execution-ready proof capsule: 15 | instrumented proof capsule awaiting live capture: 2,15,2,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Room instrument transition proof: Critical Functions Observatory - defensive UAS / critical-infrastruct...,"Select one room or instrument promise from Critical Functions Observatory - defensive UAS / critical-infrastructure research... and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",research workflow software module,17,execution-ready proof capsule: 15 | instrumented proof capsule awaiting live capture: 2,15,2,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,"Counterintelligence analytic-variable proof: Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" wo...","Take one intelligence or counterintelligence artifact from Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,research workflow software module,17,execution-ready proof capsule: 15 | instrumented proof capsule awaiting live capture: 2,15,2,application-complete; prior binding gaps now assigned,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLAN...,"Select one artifact from Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,source governance or packet-routing system,17,execution-ready proof capsule: 14 | instrumented proof capsule awaiting live capture: 3,14,3,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: CARE framework gray-zone counter-strategy + red-team critique,"Select one artifact from CARE framework gray-zone counter-strategy + red-team critique and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,source governance or packet-routing system,17,execution-ready proof capsule: 14 | instrumented proof capsule awaiting live capture: 3,14,3,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Structured-analytic technique replay: Canonical SAT dedup: 106 techniques normalized across 11 catalogues,"Select one method or template from Canonical SAT dedup: 106 techniques normalized across 11 catalogues and run it against a concrete analytic question, showing input evidence, technique sequence, analyst intervention, and final claim boundary.","technique sequence, evidence table, analyst delta, confidence boundary, and misuse warning","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,source governance or packet-routing system,17,execution-ready proof capsule: 13 | instrumented proof capsule awaiting live capture: 4,13,4,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Counterintelligence analytic-variable proof: 32 interdisciplinary frameworks attributed to specific thinkers,"Take one intelligence or counterintelligence artifact from 32 interdisciplinary frameworks attributed to specific thinkers and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,source governance or packet-routing system,17,execution-ready proof capsule: 13 | instrumented proof capsule awaiting live capture: 4,13,4,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Room instrument transition proof: Dialectic Engine,"Select one room or instrument promise from Dialectic Engine and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",source governance or packet-routing system,17,execution-ready proof capsule: 12 | instrumented proof capsule awaiting live capture: 5,12,5,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,"Packet promotion decision proof: 50-course Georgetown SSP registry; 7,500+ technique lines; capstone p...","Select one artifact from 50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,source governance or packet-routing system,17,execution-ready proof capsule: 12 | instrumented proof capsule awaiting live capture: 5,12,5,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Narrative Furnace,"Select one artifact from Narrative Furnace and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-trilogy-showcase-atlas,Book Trilogy Atlas,analytic method or human-AI evaluation module,11,execution-ready proof capsule: 11,11,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Book Trilogy Atlas,"Select one artifact from Book Trilogy Atlas and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","This is a full-build plan, not a claim that the full operational system has already been completed."
trilogy,Book Trilogy Manuscript Governance System,manuscript governance and chapter-upgrade system,11,execution-ready proof capsule: 11,11,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Chapter dossier and visual-title governance demonstrator,"Build one representative chapter dossier per book with title rationale, argument backbone, voice/register rule, source state, visual logic, handoff, and remaining gap.",Three chapter dossiers proving the books are governed as distinct writing regimes rather than generic manuscript pages.,Build one complete representative dossier per book and then scale the same fields across all 72 chapters.,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-trilogy-showcase,Book Trilogy Showcase,manuscript or editorial governance system,11,execution-ready proof capsule: 11,11,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Chapter dossier demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"chapter-specific title, visual, source, argument, rewrite decision","Add chapter-level dossiers showing title logic, argument skeleton, source role, rewrite decision, and visual specificity for representative chapters.","This is a full-build plan, not a claim that the full operational system has already been completed."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",research workflow software module,11,execution-ready proof capsule: 11,11,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,"Counterintelligence analytic-variable proof: Cognitive Warfare - counter-intelligence doctrine, operationalized in...","Take one intelligence or counterintelligence artifact from Cognitive Warfare - counter-intelligence doctrine, operationalized into analytica... and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-iscproposals,Counterintelligence Surveillance Framework,research project or professional workbench,17,execution-ready proof capsule: 11 | instrumented proof capsule awaiting live capture: 6,11,6,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Counterintelligence analytic-variable proof: Counterintelligence Surveillance Framework,"Take one intelligence or counterintelligence artifact from Counterintelligence Surveillance Framework and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),source governance or packet-routing system,17,execution-ready proof capsule: 11 | instrumented proof capsule awaiting live capture: 6,11,6,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: Cumulative-patch consolidator (4 historical patch packs merged),"Select one artifact from Cumulative-patch consolidator (4 historical patch packs merged) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-murano,MuranoOS Research Operating Environment,local research operating system / workstation builder,11,execution-ready proof capsule: 11,11,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Room-state operating loop demonstrator,"Move one research project through room selection, instrument execution, agent or department handoff, SQLite/state update, review gate, and exported work product.","Before/after state record, instrument output, handoff trail, review decision, and export boundary.","Show one project moving through room selection, instrument execution, state update, department handoff, review gate, and export.","This is a full-build plan, not a claim that the full operational system has already been completed."
personal-os,"Personal OS - MuranoOS, a personal operating system, local workbench, and project foundation",research workflow software module,11,execution-ready proof capsule: 11,11,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,"Packet promotion decision proof: Personal OS - MuranoOS, a personal operating system, local workbench,...","Select one artifact from Personal OS - MuranoOS, a personal operating system, local workbench, and project... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",source governance or packet-routing system,17,execution-ready proof capsule: 10 | instrumented proof capsule awaiting live capture: 7,10,7,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,"Room instrument transition proof: 25x25 matrix framework (Warning labels populated, cell content NOT)","Select one room or instrument promise from 25x25 matrix framework (Warning labels populated, cell content NOT) and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,source governance or packet-routing system,17,execution-ready proof capsule: 10 | instrumented proof capsule awaiting live capture: 7,10,7,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: 52 MB cross-project governance pack; nested 55 MB original bundle pre...,"Select one artifact from 52 MB cross-project governance pack; nested 55 MB original bundle preserved and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",research workflow software module,10,execution-ready proof capsule: 10,10,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,"Packet promotion decision proof: Historical Studies - eleven historical and operational case studies,...","Select one artifact from Historical Studies - eleven historical and operational case studies, including th... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,local scholarly retrieval and evidence-warrant software,10,execution-ready proof capsule: 10,10,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Scholarly retrieval warrant and abstention trace,"Run a question through a bounded local corpus slice; show retrieved passages, evidence score, negative-space finding, abstention case, and final claim boundary.",A retrieval trace that distinguishes fluent context from warranted source support.,"Build a public-safe retrieval trace with corpus boundary, retrieved passages, evidence score, negative-space finding, abstention, and claim ceiling.","This is a full-build plan, not a claim that the full operational system has already been completed."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,retrieval or evidence-evaluation platform,10,execution-ready proof capsule: 10,10,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,future-work technical evaluation architecture,9,execution-ready proof capsule: 9,9,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Adversarial evidence-corruption evaluation capsule,"Convert the advisor annex into a replayable mini-evaluation: adversarial packet, retrieval trace, analyst validation step, defensive gate, replay record, and claim boundary.","Evaluation capsule showing what was attacked, what was retrieved, what the analyst checked, and what the system allowed, narrowed, or blocked.",Convert the advisor annex into one runnable evaluation capsule without representing it as completed empirical results.,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,adversarial retrieval-security evaluation platform,9,execution-ready proof capsule: 9,9,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Mixed-speed Poison-RAG replay harness,"Run a clean baseline, slow poison, fast injection, and authority-wrapper attack through source admission, indexing, retrieval, generation, human review, and release decision.","Retrieval trace, answer deformation record, reviewer-burden estimate, and block/narrow/abstain decision.","Build the mixed-speed Poison-RAG replay with slow poison, fast injection, authority wrapper, retrieval trace, and defense decision.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-analyst-assurance-desk,Analyst Assurance Desk,analytic method or human-AI evaluation module,8,execution-ready proof capsule: 8,8,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: Analyst Assurance Desk,"Select one artifact from Analyst Assurance Desk and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-russia-history-room,Russia Historical Context Room,research workflow software module,8,execution-ready proof capsule: 8,8,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Counterintelligence analytic-variable proof: Russia Historical Context Room,"Take one intelligence or counterintelligence artifact from Russia Historical Context Room and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
russia-desk,Russia Source-To-Judgment Desk,regional analytic workstation,8,execution-ready proof capsule: 8,8,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Russia source-to-judgment analytic variable board,"Route one Russia source family into actor interest, institutional constraint, strategic culture, deception pattern, force posture, uncertainty limit, and analytic judgment.",A bounded source-to-judgment chain with visible variables and explicit uncertainty.,Run one source family into a visible source-to-variable-to-judgment chain.,"This is a full-build plan, not a claim that the full operational system has already been completed."
analytical-methods,Structured Analytic Technique Studio,method-composition and evaluation software,8,execution-ready proof capsule: 8,8,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Structured-analytic technique replay: Structured Analytic Technique Studio,"Select one method or template from Structured Analytic Technique Studio and run it against a concrete analytic question, showing input evidence, technique sequence, analyst intervention, and final claim boundary.","technique sequence, evidence table, analyst delta, confidence boundary, and misuse warning",Build a two-technique comparison on one analytic task and record where each technique changed the output.,"This is a full-build plan, not a claim that the full operational system has already been completed."
row10,Structured Human-AI Analyst Workstation,human-in-the-loop analytic workstation,8,execution-ready proof capsule: 8,8,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Structured human-AI analytic delta board,"Compare a baseline AI answer with a structured analytic technique pass, human review notes, confidence change, residual disagreement, and release decision.","Baseline, SAT-supported review, human correction or constraint, confidence boundary, and final decision.","Build one SAT comparison board: baseline AI answer, structured technique pass, human delta, confidence boundary, and release decision.","This is a full-build plan, not a claim that the full operational system has already been completed."
structured-analysis-toolkit,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,retrieval or evidence-evaluation platform,8,execution-ready proof capsule: 8,8,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,research project or professional workbench,11,execution-ready proof capsule: 7 | instrumented proof capsule awaiting live capture: 4,7,4,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Counterintelligence analytic-variable proof: Counterintelligence Surveillance Framework - Beyond Surveillance Maxi...,"Take one intelligence or counterintelligence artifact from Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Sm... and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add one implementation scenario: policy problem, decision rule, control point, abuse case, measurable criterion, and revision trigger.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,source governance or packet-routing system,17,execution-ready proof capsule: 6 | instrumented proof capsule awaiting live capture: 11,6,11,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Cognitive-firewall instrument proof: Cognitive Firewalls Foundry,"Convert one defensive instrument from Cognitive Firewalls Foundry into an input-output test that shows corruption pressure, detection surface, analyst check, and allowed claim.","corruption fixture, detection cue, analyst validation step, decision gate, and claim ceiling","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-russia-security-desk,Russia Security Desk,research workflow software module,8,execution-ready proof capsule: 6 | instrumented proof capsule awaiting live capture: 2,6,2,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Counterintelligence analytic-variable proof: Russia Security Desk,"Take one intelligence or counterintelligence artifact from Russia Security Desk and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed."
