source_candidate,locator_status,public_file_label,extension,collection_hint,match_score,matched_tokens,alternate_public_labels
Pherso Counterintelligence Structured Analytic Techniques,candidate_file_found,Pherso Counterintelligence Structured Analytic Techniques.pdf,.pdf,Kindle/PDF source library candidate,166.0,"analytic, counterintelligence, pherso, structured, techniques",A Tradecraft Primer Structured Analytic Techniques.pdf | A Tradecraft Primer Structured Analytic Techniques (2).pdf
"Routledge Handbook on Cooperation, Interdependencies and Security in the Mediterranean Elena Calandri, Karolina Golemo, Jesús Ventura Fernández",candidate_file_found,"Routledge Handbook on Cooperation, Interdependencies and Security in the Mediterranean - Elena Calandri, Karolina Golemo, Jesús Ventura - Fernández.epub",.epub,Bookshare source library candidate,236.0,"calandri, cooperation, elena, fern, golemo, interdependencies, karolina, mediterranean, ndez, routledge, security, ventura",The Routledge Handbook of European Security Law and Policy - Elena Conde et al.pdf | The Routledge Handbook of European Security Law and Policy - Elena Conde et al (2).pdf
Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,candidate_file_found,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"assessment, global, pdoc, reach, russia, security, statecraft",Russia's Global Reach A Security and Statecraft Assessment - Graeme P. Herd.pdf | (Praeger Security International) Richard D. Fisher Jr. - China's Military Modernization Building for Regional and Global Reach - Praeger (2008) PDOC.pdf
Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd,candidate_file_found,Russia's Global Reach A Security and Statecraft Assessment - Graeme P. Herd.pdf,.pdf,Kindle/PDF source library candidate,196.0,"assessment, global, graeme, herd, reach, russia, security, statecraft",Russia's Global Reach A Security and Statecraft Assessment 0 PDOC.pdf | (Praeger Security International) Richard D. Fisher Jr. - China's Military Modernization Building for Regional and Global Reach - Praeger (2008) PDOC.pdf
Russia's Security Policy under Putin Aglaya Snetkov,candidate_file_found,Russia's Security Policy under Putin - Aglaya Snetkov.epub,.epub,Bookshare source library candidate,186.0,"aglaya, policy, putin, russia, security, snetkov, under","Russian Security and Air Power, 1992 - 2002 - The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces - Marcel de Haas.epub | Russia's Policy Challenges - Security, Stability, and Development - Stephen K. Wegren.epub"
"Statebuilding and Counterinsurgency in Oman Political, Military and Diplomatic Relations at the End of Empire James Worrall",candidate_file_found,"Statebuilding and Counterinsurgency in Oman Political, Military and Diplomatic Relations at the End of Empire - James Worrall.pdf",.pdf,Kindle/PDF source library candidate,216.0,"counterinsurgency, diplomatic, empire, james, military, oman, political, relations, statebuilding, worrall",Statebuilding and Counterinsurgency in Oman - James Worrall PDOC.pdf | The Routledge Handbook of American Military and Diplomatic History The Colonial Period to 1877 - Antonio Scott Thompson et al.pdf
The Nutritional Hierarchy of Importance Nutrient Timing PDOC,candidate_file_found,The Nutritional Hierarchy of Importance Nutrient Timing PDOC.pdf,.pdf,Kindle/PDF source library candidate,176.0,"hierarchy, importance, nutrient, nutritional, pdoc, timing",The Nutritional Hierarchy of Importance Nutrient Timing - Unknown.pdf | OceanofPDF.com The Vienna Summit and Its Importance in International History - Gunter Bischof PDOC.pdf
The Oxford Handbook of Governance and Limited Statehood Thomas Risse et al,candidate_file_found,The Oxford Handbook of Governance and Limited Statehood - Thomas Risse et al.pdf,.pdf,Kindle/PDF source library candidate,176.0,"governance, limited, oxford, risse, statehood, thomas",the - oxford - handbook - of - governance - and - limited - statehood - 0198797206 - 9780198797203 compress PDOC.pdf | The Oxford Handbook of Governance and Public Management for Social Policy - Karen J Baehler (2).pdf
The Routledge Handbook of European Security Law and Policy Elena Conde et al,candidate_file_found,The Routledge Handbook of European Security Law and Policy - Elena Conde et al.pdf,.pdf,Kindle/PDF source library candidate,176.0,"conde, elena, european, policy, routledge, security",The Routledge Handbook of European Security Law and Policy - Elena Conde et al (2).pdf | the - routledge - handbook - of - european - security - law - and - policy - 9781138609990 - 9780429465918 compress.pdf
The Routledge Handbook of European Security Law and Policy Elena Conde et al (2),candidate_file_found,The Routledge Handbook of European Security Law and Policy - Elena Conde et al (2).pdf,.pdf,Kindle/PDF source library candidate,176.0,"conde, elena, european, policy, routledge, security",The Routledge Handbook of European Security Law and Policy - Elena Conde et al.pdf | the - routledge - handbook - of - european - security - law - and - policy - 9781138609990 - 9780429465918 compress.pdf
the routledge handbook of european security law and policy 9781138609990 9780429465918 compress,candidate_file_found,the - routledge - handbook - of - european - security - law - and - policy - 9781138609990 - 9780429465918 compress.pdf,.pdf,Local scholarly source library candidate,166.0,"compress, european, policy, routledge, security",the - routledge - handbook - of - european - security - law - and - policy - 9781138609990 - 9780429465918 compress PDOC.pdf | the - routledge - handbook - of - european - security - law - and - policy - 9781138609990 - 9780429465918 compress PDOC.pdf
