project_id,product_name,final_object_type,build_tranche,component_count,average_maturity_score,minimum_maturity_score,level_distribution,execution_ready_components,instrumented_or_better_components,proof_status,distinctive_component_to_build,distinctive_component_operation,distinctive_component_output,weakest_components,next_full_build_step,claim_boundary,engine_page
native-fwanalysis,Foreign Warning Analysis,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Foreign Warning Analysis Runtime Or Interface Surface | Foreign Warning Analysis Data And State Model | Foreign Warning Analysis Core Instrument Panel | Foreign Warning Analysis Workflow Orchestration | Foreign Warning Analysis Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",research workflow software module,T2 platform module,10,5.0,5,L5 execution-ready proof capsule: 10,10,10,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy Runtime Or Interface Surface | Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy Data And State Model | Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy Core Instrument Panel | Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy Workflow Orchestration | Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy Review And Governance Gate","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-hsanalysis,Homeland Security Analysis,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Homeland Security Analysis Runtime Or Interface Surface | Homeland Security Analysis Data And State Model | Homeland Security Analysis Core Instrument Panel | Homeland Security Analysis Workflow Orchestration | Homeland Security Analysis Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-cicc,ICC Complementarity Case Room,portfolio room or research surface,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",ICC Complementarity Case Room Runtime Or Interface Surface | ICC Complementarity Case Room Data And State Model | ICC Complementarity Case Room Core Instrument Panel | ICC Complementarity Case Room Workflow Orchestration | ICC Complementarity Case Room Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse Runtime Or Interface Surface | IR Lexicon - coined-term lexicon for modern foreign-affairs discourse Data And State Model | IR Lexicon - coined-term lexicon for modern foreign-affairs discourse Core Instrument Panel | IR Lexicon - coined-term lexicon for modern foreign-affairs discourse Workflow Orchestration | IR Lexicon - coined-term lexicon for modern foreign-affairs discourse Review And Governance Gate,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-icanalysis,Intelligence Community Analysis,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Intelligence Community Analysis Runtime Or Interface Surface | Intelligence Community Analysis Data And State Model | Intelligence Community Analysis Core Instrument Panel | Intelligence Community Analysis Workflow Orchestration | Intelligence Community Analysis Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,local scholarly retrieval and evidence-warrant software,T0 reusable platform kernel,10,5.0,5,L5 execution-ready proof capsule: 10,10,10,execution-ready flagship proof capsule,Scholarly retrieval warrant and abstention trace,"Run a question through a bounded local corpus slice; show retrieved passages, evidence score, negative-space finding, abstention case, and final claim boundary.",A retrieval trace that distinguishes fluent context from warranted source support.,Root Registry And Corpus Admission | Bibliographic Identity And Authority Control | Extraction Pipeline | Hybrid Retrieval Plane | Query Decomposition And Evidence Search,"Build a public-safe retrieval trace with corpus boundary, retrieved passages, evidence score, negative-space finding, abstention, and claim ceiling.","This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/magnum_opus_source_engine.html
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Mashup Intelligence Room Handoff Identity | Mashup Intelligence Room Room Task Model | Mashup Intelligence Room Data Schema And Persistence Plan | Mashup Intelligence Room Interface And Instrument Plane | Mashup Intelligence Room Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
master-bundle-atlas,Master Bundle Packet Promotion Atlas,source packet governance and project-routing system,T1 flagship operational demonstrator,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,execution-ready flagship proof capsule,Master Bundle packet promotion router,"Move one packet through identity, extraction status, authority level, duplicate risk, project route, canonical/derivative/archive/build-now decision, and next action.",Promotion decision record proving that 152 packets are governed as build inputs rather than an undifferentiated archive.,Master Bundle Atlas - 152 source and handoff packets Artifact Identity Register | Master Bundle Atlas - 152 source and handoff packets Extraction And Manifest Layer | Master Bundle Atlas - 152 source and handoff packets Mechanism Or Claim Distillation | Master Bundle Atlas - 152 source and handoff packets Proof Boundary | Master Bundle Atlas - 152 source and handoff packets Promotion Route,Run one packet through canonical/derivative/archive/build-now classification and capture the next action.,"This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/master_bundle_source_engine.html
native-mongol,Mongol Empire Military Systems,research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Mongol Empire Military Systems Runtime Or Interface Surface | Mongol Empire Military Systems Data And State Model | Mongol Empire Military Systems Core Instrument Panel | Mongol Empire Military Systems Workflow Orchestration | Mongol Empire Military Systems Review And Governance Gate,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-murano,MuranoOS Research Operating Environment,local research operating system / workstation builder,T0 reusable platform kernel,11,5.0,5,L5 execution-ready proof capsule: 11,11,11,execution-ready flagship proof capsule,Room-state operating loop demonstrator,"Move one research project through room selection, instrument execution, agent or department handoff, SQLite/state update, review gate, and exported work product.","Before/after state record, instrument output, handoff trail, review decision, and export boundary.",Canon Layer | Tauri / React / Rust Runtime | SQLite Command And State Layer | Room Contract | Expert Faculty Layer,"Show one project moving through room selection, instrument execution, state update, department handoff, review gate, and export.","This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/muranoos_source_engine.html
row7,Nexus Research Pipeline,reusable research-pipeline software,T0 reusable platform kernel,101,5.0,5,L5 execution-ready proof capsule: 101,101,101,execution-ready flagship proof capsule,Cross-field mechanism transfer and dependency stale-state demonstrator,"Move one seed research question through Observatory, Scanner, Bridge, Cross-Pollination, XPol fit pressure, Incubator, and Forge; then alter an upstream premise and show downstream methodology, analysis, or writing stages becoming review-required.","Transfer route, rejected false analogy, draftable research object, stale-stage flags, and revised downstream task list.",Intake stage | Decompose stage | Inventory stage | Gaps stage | Strategy stage,Implement a live seed-question walkthrough with one cross-field transfer and one downstream stale-state propagation.,"This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/nexus_source_engine.html
native-mideast,Ottoman Palestine and Early Zionism,research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Ottoman Palestine and Early Zionism Runtime Or Interface Surface | Ottoman Palestine and Early Zionism Data And State Model | Ottoman Palestine and Early Zionism Core Instrument Panel | Ottoman Palestine and Early Zionism Workflow Orchestration | Ottoman Palestine and Early Zionism Review And Governance Gate,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
personal-os,"Personal OS - MuranoOS, a personal operating system, local workbench, and project foundation",research workflow software module,T2 platform module,11,5.0,5,L5 execution-ready proof capsule: 11,11,11,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Canon Layer | Tauri / React / Rust Runtime | SQLite Command And State Layer | Room Contract | Expert Faculty Layer,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-psanalysis,Political Strategy Analysis,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Political Strategy Analysis Runtime Or Interface Surface | Political Strategy Analysis Data And State Model | Political Strategy Analysis Core Instrument Panel | Political Strategy Analysis Workflow Orchestration | Political Strategy Analysis Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,analytic method or human-AI evaluation module,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption Artifact Identity Register | Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption Extraction And Manifest Layer | Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption Mechanism Or Claim Distillation | Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption Proof Boundary | Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption Promotion Route,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
row1,Quantitative Capstone - quantitative arm of the AI-corruption capstone study,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Quantitative Capstone - quantitative arm of the AI-corruption capstone study Artifact Identity Register | Quantitative Capstone - quantitative arm of the AI-corruption capstone study Extraction And Manifest Layer | Quantitative Capstone - quantitative arm of the AI-corruption capstone study Mechanism Or Claim Distillation | Quantitative Capstone - quantitative arm of the AI-corruption capstone study Proof Boundary | Quantitative Capstone - quantitative arm of the AI-corruption capstone study Promotion Route,"Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-capstone-quantitative,Quantitative Capstone Workbench,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,execution-ready flagship proof capsule,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Quantitative Capstone Workbench Runtime Or Interface Surface | Quantitative Capstone Workbench Data And State Model | Quantitative Capstone Workbench Core Instrument Panel | Quantitative Capstone Workbench Workflow Orchestration | Quantitative Capstone Workbench Review And Governance Gate,"Separate proposed conditions, scoring variables, reliability checks, and disconfirmation rules from any result claims; then add one simulated run artifact.","This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/quant_capstone_source_engine.html
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers Handoff Identity | Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers Room Task Model | Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers Data Schema And Persistence Plan | Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers Interface And Instrument Plane | Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber Artifact Identity Register | Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber Extraction And Manifest Layer | Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber Mechanism Or Claim Distillation | Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber Proof Boundary | Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber Promotion Route,"Add one source-to-judgment chain: source family, analytic variable, competing interpretation, confidence boundary, and policy implication.","This is a full-build plan, not a claim that the full operational system has already been completed.",
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Runtime Or Interface Surface | Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Data And State Model | Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Core Instrument Panel | Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Workflow Orchestration | Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western) Review And Governance Gate","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,adversarial retrieval-security evaluation platform,T0 reusable platform kernel,9,5.0,5,L5 execution-ready proof capsule: 9,9,9,execution-ready flagship proof capsule,Mixed-speed Poison-RAG replay harness,"Run a clean baseline, slow poison, fast injection, and authority-wrapper attack through source admission, indexing, retrieval, generation, human review, and release decision.","Retrieval trace, answer deformation record, reviewer-burden estimate, and block/narrow/abstain decision.",Clean / Poisoned Evidence Admission | Slow-Poison Track | Fast-Injection Track | Authority-Wrapper And Omission Attack Track | Index Perturbation And Retrieval Trace,"Build the mixed-speed Poison-RAG replay with slow poison, fast injection, authority wrapper, retrieval trace, and defense decision.","This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/poison_rag_source_engine.html
native-russia,Russia,research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Russia Artifact Identity Register | Russia Extraction And Manifest Layer | Russia Mechanism Or Claim Distillation | Russia Proof Boundary | Russia Promotion Route,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-russia-history-room,Russia Historical Context Room,research workflow software module,T2 platform module,8,5.0,5,L5 execution-ready proof capsule: 8,8,8,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Russia Source Lane | Regime-Security Desk | Military Adaptation Desk | Influence / Reflexive-Control Desk | Historical Inheritance Desk,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
russia-desk,Russia Source-To-Judgment Desk,regional analytic workstation,T1 flagship operational demonstrator,8,5.0,5,L5 execution-ready proof capsule: 8,8,8,execution-ready flagship proof capsule,Russia source-to-judgment analytic variable board,"Route one Russia source family into actor interest, institutional constraint, strategic culture, deception pattern, force posture, uncertainty limit, and analytic judgment.",A bounded source-to-judgment chain with visible variables and explicit uncertainty.,Russia Source Lane | Regime-Security Desk | Military Adaptation Desk | Influence / Reflexive-Control Desk | Historical Inheritance Desk,Run one source family into a visible source-to-variable-to-judgment chain.,"This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/russia_source_engine.html
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,source governance or packet-routing system,T3 governed content system,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Russian-studies bibliography + reflexive meta-analysis session Handoff Identity | Russian-studies bibliography + reflexive meta-analysis session Room Task Model | Russian-studies bibliography + reflexive meta-analysis session Data Schema And Persistence Plan | Russian-studies bibliography + reflexive meta-analysis session Interface And Instrument Plane | Russian-studies bibliography + reflexive meta-analysis session Integration Path,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,retrieval or evidence-evaluation platform,T2 platform module,10,5.0,5,L5 execution-ready proof capsule: 10,10,10,instrumented proof set,Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,Root Registry And Corpus Admission | Bibliographic Identity And Authority Control | Extraction Pipeline | Hybrid Retrieval Plane | Query Decomposition And Evidence Search,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
warrant-chamber,Source & Evidence Review - tracking what supports each claim and what still needs review,research workflow software module,T2 platform module,3,5.0,5,L5 execution-ready proof capsule: 3,3,3,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Claim Intake | Warrant Inspection | Certification Or Revision,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
analytical-methods,Structured Analytic Technique Studio,method-composition and evaluation software,T0 reusable platform kernel,8,5.0,5,L5 execution-ready proof capsule: 8,8,8,instrumented proof set,Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",Task And Method Assignment | Evidence And Assumption Intake | ACH / Alternatives Matrix | Red-Team / Devil's Advocate Pass | Uncertainty And Confidence Gate,Build a two-technique comparison on one analytic task and record where each technique changed the output.,"This is a full-build plan, not a claim that the full operational system has already been completed.",
row10,Structured Human-AI Analyst Workstation,human-in-the-loop analytic workstation,T0 reusable platform kernel,8,5.0,5,L5 execution-ready proof capsule: 8,8,8,execution-ready flagship proof capsule,Structured human-AI analytic delta board,"Compare a baseline AI answer with a structured analytic technique pass, human review notes, confidence change, residual disagreement, and release decision.","Baseline, SAT-supported review, human correction or constraint, confidence boundary, and final decision.",Task And Method Assignment | Evidence And Assumption Intake | ACH / Alternatives Matrix | Red-Team / Devil's Advocate Pass | Uncertainty And Confidence Gate,"Build one SAT comparison board: baseline AI answer, structured technique pass, human delta, confidence boundary, and release decision.","This is a full-build plan, not a claim that the full operational system has already been completed.",../proof_engines/analyst_workstation_source_engine.html
structured-analysis-toolkit,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,retrieval or evidence-evaluation platform,T2 platform module,8,5.0,5,L5 execution-ready proof capsule: 8,8,8,instrumented proof set,Adversarial retrieval replay demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,replayable clean/contaminated trace with gate decision,Task And Method Assignment | Evidence And Assumption Intake | ACH / Alternatives Matrix | Red-Team / Devil's Advocate Pass | Uncertainty And Confidence Gate,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-peace,Track II Diplomacy and Peacebuilding,portfolio room or research surface,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Track II Diplomacy and Peacebuilding Runtime Or Interface Surface | Track II Diplomacy and Peacebuilding Data And State Model | Track II Diplomacy and Peacebuilding Core Instrument Panel | Track II Diplomacy and Peacebuilding Workflow Orchestration | Track II Diplomacy and Peacebuilding Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-war-theory,War Theory and Strategic Culture,portfolio room or research surface,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",War Theory and Strategic Culture Runtime Or Interface Surface | War Theory and Strategic Culture Data And State Model | War Theory and Strategic Culture Core Instrument Panel | War Theory and Strategic Culture Workflow Orchestration | War Theory and Strategic Culture Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,research project or professional workbench,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Wargaming - theater-level alliance-crisis wargame workbench Artifact Identity Register | Wargaming - theater-level alliance-crisis wargame workbench Extraction And Manifest Layer | Wargaming - theater-level alliance-crisis wargame workbench Mechanism Or Claim Distillation | Wargaming - theater-level alliance-crisis wargame workbench Proof Boundary | Wargaming - theater-level alliance-crisis wargame workbench Promotion Route,"Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-amfp,Washington-Jefferson Era Foreign Policy,portfolio room or research surface,T4 portfolio-backed research surface,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",Washington-Jefferson Era Foreign Policy Runtime Or Interface Surface | Washington-Jefferson Era Foreign Policy Data And State Model | Washington-Jefferson Era Foreign Policy Core Instrument Panel | Washington-Jefferson Era Foreign Policy Workflow Orchestration | Washington-Jefferson Era Foreign Policy Review And Governance Gate,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed.",
native-western,Western Political Thought and the Ideal State,research workflow software module,T2 platform module,17,5.0,5,L5 execution-ready proof capsule: 17,17,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Western Political Thought and the Ideal State Runtime Or Interface Surface | Western Political Thought and the Ideal State Data And State Model | Western Political Thought and the Ideal State Core Instrument Panel | Western Political Thought and the Ideal State Workflow Orchestration | Western Political Thought and the Ideal State Review And Governance Gate,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,research workflow software module,T2 platform module,17,4.94,4,L4 instrumented proof path: 1 | L5 execution-ready proof capsule: 16,16,17,instrumented proof set,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,Decision Advantage System - operating architecture for intelligence and security organizations / Analytic Craft | Decision Advantage System - operating architecture for intelligence and security organizations Artifact Identity Register | Decision Advantage System - operating architecture for intelligence and security organizations Extraction And Manifest Layer | Decision Advantage System - operating architecture for intelligence and security organizations Mechanism Or Claim Distillation | Decision Advantage System - operating architecture for intelligence and security organizations Proof Boundary,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","This is a full-build plan, not a claim that the full operational system has already been completed.",
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source governance or packet-routing system,T3 governed content system,17,4.88,4,L4 instrumented proof path: 2 | L5 execution-ready proof capsule: 15,15,17,instrumented proof set,Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",Critical Functions Observatory - defensive UAS / critical-infrastructure research lab Proof Boundary | Critical Functions Observatory - defensive UAS / critical-infrastructure research lab / FAA Remote ID | Critical Functions Observatory - defensive UAS / critical-infrastructure research lab Artifact Identity Register | Critical Functions Observatory - defensive UAS / critical-infrastructure research lab Extraction And Manifest Layer | Critical Functions Observatory - defensive UAS / critical-infrastructure research lab Mechanism Or Claim Distillation,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed.",
