project_id,product_name,proof_status,average_maturity_score,distinctive_component_to_build,what_it_must_prove,observable_output_required,next_full_build_step,claim_boundary
mb-muranoos-red-team-lab-handoff-package-2026-04-17,"Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Workspace Restore""",instrumented proof set,4.0,"Packet promotion decision proof: Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Work...","Select one artifact from Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Workspace Restore"" and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-tranche1-handoff-package-2026-04-11,Leanest blueprint-only; only with named rollback doc,instrumented proof set,4.0,Packet promotion decision proof: Leanest blueprint-only; only with named rollback doc,"Select one artifact from Leanest blueprint-only; only with named rollback doc and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,instrumented proof set,4.0,Room instrument transition proof: Lossless Study Room,"Select one room or instrument promise from Lossless Study Room and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-master-bundle-pages,Master Bundle Pages,instrumented proof set,4.0,Packet promotion decision proof: Master Bundle Pages,"Select one artifact from Master Bundle Pages and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-tranche-ii-handoff-pack-2026-04-15,"Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands",instrumented proof set,4.0,"Packet promotion decision proof: Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new...","Select one artifact from Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-build02-final-proper-handoff-2026-04-11,Only one WITHOUT the 802 KB nested archive; Build 02 scope,instrumented proof set,4.0,Packet promotion decision proof: Only one WITHOUT the 802 KB nested archive; Build 02 scope,"Select one artifact from Only one WITHOUT the 802 KB nested archive; Build 02 scope and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-package-2026-04-11,Only one with 07_Derivative_Handoff/; richest SQL DDL,instrumented proof set,4.0,Packet promotion decision proof: Only one with 07_Derivative_Handoff/; richest SQL DDL,"Select one artifact from Only one with 07_Derivative_Handoff/; richest SQL DDL and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-execution-ready-handoff-archive-2026-04-11,Only one with Build_02-Build_05 sequenced operator guides,instrumented proof set,4.0,Packet promotion decision proof: Only one with Build_02-Build_05 sequenced operator guides,"Select one artifact from Only one with Build_02-Build_05 sequenced operator guides and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-phase-iii-a-handoff-2026-04-11,"Only one with Shadi_SAT_Seed.json + ""Phase III-A"" naming",instrumented proof set,4.0,"Structured-analytic technique replay: Only one with Shadi_SAT_Seed.json + ""Phase III-A"" naming","Select one method or template from Only one with Shadi_SAT_Seed.json + ""Phase III-A"" naming and run it against a concrete analytic question, showing input evidence, technique sequence, analyst intervention, and final claim boundary.","technique sequence, evidence table, analyst delta, confidence boundary, and misuse warning","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-phaseii-handoff-2026-04-14,Posture Compass 5-axis instrument; framing_tensions/rival_framing columns,instrumented proof set,4.0,Packet promotion decision proof: Posture Compass 5-axis instrument; framing_tensions/rival_framing col...,"Select one artifact from Posture Compass 5-axis instrument; framing_tensions/rival_framing columns and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-prism-chamber-murano-ready-package-2026-04-14,Prism Chamber,instrumented proof set,4.0,Packet promotion decision proof: Prism Chamber,"Select one artifact from Prism Chamber and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-prism-foundry-handoff,Prism Foundry,instrumented proof set,4.0,Packet promotion decision proof: Prism Foundry,"Select one artifact from Prism Foundry and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-prism-scriptorium-handoff-v1,Prism Scriptorium,instrumented proof set,4.0,Packet promotion decision proof: Prism Scriptorium,"Select one artifact from Prism Scriptorium and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-prismatic-agora-handoff-v1-0-done,Prismatic Agora,instrumented proof set,4.0,Packet promotion decision proof: Prismatic Agora,"Select one artifact from Prismatic Agora and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
project-hardening,"Quality Review - checking project claims against evidence, scope, and readiness",instrumented proof set,4.0,"Packet promotion decision proof: Quality Review - checking project claims against evidence, scope, and...","Select one artifact from Quality Review - checking project claims against evidence, scope, and readiness and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action",Capture a concrete run trace or exported proof artifact for this project type; the project is currently more specified than demonstrated.,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-redteam-rc1-2026-04-14,RC1 wrapper; front-loaded 00_RC_Handoff/,instrumented proof set,4.0,Packet promotion decision proof: RC1 wrapper; front-loaded 00_RC_Handoff/,"Select one artifact from RC1 wrapper; front-loaded 00_RC_Handoff/ and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-respite,Recovery Respite Facility Operations,instrumented proof set,4.0,Counterintelligence analytic-variable proof: Recovery Respite Facility Operations,"Take one intelligence or counterintelligence artifact from Recovery Respite Facility Operations and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.","This is a full-build plan, not a claim that the full operational system has already been completed."
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,instrumented proof set,4.0,Professional capability evidence-router: Red Team Lab - consolidated counter-deception lab across five authori...,"Translate one capability item from Red Team Lab - consolidated counter-deception lab across five authority roles into skill evidence, proof artifact, readiness gap, and next work product without making unsupported employment claims.","skill claim, evidence artifact, readiness gap, next proof object, and public wording boundary","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,instrumented proof set,4.0,Packet promotion decision proof: Reflexive Control Chamber,"Select one artifact from Reflexive Control Chamber and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-uscri,Refugee Resettlement Resource Allocation,instrumented proof set,4.0,Packet promotion decision proof: Refugee Resettlement Resource Allocation,"Select one artifact from Refugee Resettlement Resource Allocation and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,instrumented proof set,4.0,Packet promotion decision proof: Rhetorium,"Select one artifact from Rhetorium and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-room-handoff-v1,Room template v1,instrumented proof set,4.0,Room instrument transition proof: Room template v1,"Select one room or instrument promise from Room template v1 and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),instrumented proof set,4.0,Packet promotion decision proof: Script Atelier (v0),"Select one artifact from Script Atelier (v0) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-continuation-handoff-2026-04-11,Smallest addendum wrapper; 5-surface Core Analytical Workflow,instrumented proof set,4.0,Packet promotion decision proof: Smallest addendum wrapper; 5-surface Core Analytical Workflow,"Select one artifact from Smallest addendum wrapper; 5-surface Core Analytical Workflow and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-phase-ii-handoff-2026-04-15,Smallest doc-pack; paired .md + .rs/.ts draft patches,instrumented proof set,4.0,Packet promotion decision proof: Smallest doc-pack; paired .md + .rs/.ts draft patches,"Select one artifact from Smallest doc-pack; paired .md + .rs/.ts draft patches and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",instrumented proof set,4.0,"Counterintelligence analytic-variable proof: Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PL...","Take one intelligence or counterintelligence artifact from Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A"" and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-handoff-package-gpt-synth-2026-04-18,"Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks from red_team_* spine)",instrumented proof set,4.0,"Packet promotion decision proof: Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workf...","Select one artifact from Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-speechcraft-studio-handoff,Speechcraft Studio,instrumented proof set,4.0,Packet promotion decision proof: Speechcraft Studio,"Select one artifact from Speechcraft Studio and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",instrumented proof set,4.0,"Packet promotion decision proof: Strictest 4-quadrant authority layer; ""Durable Workspace Core""","Select one artifact from Strictest 4-quadrant authority layer; ""Durable Workspace Core"" and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,instrumented proof set,4.0,Stub quarantine and build/no-build proof: Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,"Inspect Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger for actual substance, classify stub versus usable packet, and decide archive, rebuild, or block from public promotion.","stub finding, substance status, archive/rebuild/block route, and public-exclusion reason","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-trancheii-handoff-2026-04-13,Surgical patch package; 12 live source snapshots + 4 patch-plane specs,instrumented proof set,4.0,Packet promotion decision proof: Surgical patch package; 12 live source snapshots + 4 patch-plane specs,"Select one artifact from Surgical patch package; 12 live source snapshots + 4 patch-plane specs and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,instrumented proof set,4.0,Packet promotion decision proof: Terminal packaging; full Refraction Chamber world design; --rt-* CSS...,"Select one artifact from Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-the-interval-handoff-v0-1,The Interval (remote violence),instrumented proof set,4.0,Packet promotion decision proof: The Interval (remote violence),"Select one artifact from The Interval (remote violence) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-tradecraft-foundry-handoff-package-2026-04-11,Tradecraft Foundry,instrumented proof set,4.0,Packet promotion decision proof: Tradecraft Foundry,"Select one artifact from Tradecraft Foundry and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,instrumented proof set,4.0,Packet promotion decision proof: Triple-layer (zip+tree+addendum); 3-pass ledger,"Select one artifact from Triple-layer (zip+tree+addendum); 3-pass ledger and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-pharm,Vaccine Distribution Planner,instrumented proof set,4.0,Counterintelligence analytic-variable proof: Vaccine Distribution Planner,"Take one intelligence or counterintelligence artifact from Vaccine Distribution Planner and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-habitat,Volunteer Build-Day Coordination,instrumented proof set,4.0,Packet promotion decision proof: Volunteer Build-Day Coordination,"Select one artifact from Volunteer Build-Day Coordination and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one replayable scenario: initial condition, decision variable, constraint, model operation, output, and after-action review.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),instrumented proof set,4.0,Stub quarantine and build/no-build proof: Warning Misleading name: all 24 files are 1-line title stubs (466 byt...,"Inspect Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total) for actual substance, classify stub versus usable packet, and decide archive, rebuild, or block from public promotion.","stub finding, substance status, archive/rebuild/block route, and public-exclusion reason","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,instrumented proof set,4.0,Packet promotion decision proof: Warrant Chamber,"Select one artifact from Warrant Chamber and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-western-myth-codex-phase-i-stub-pack,Western Myth Codex,instrumented proof set,4.0,Packet promotion decision proof: Western Myth Codex,"Select one artifact from Western Myth Codex and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",instrumented proof set,4.0,"Packet promotion decision proof: specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""A...","Select one artifact from specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Co... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-portfolio-index,Full Project Catalogue,instrumented proof set,4.06,Packet promotion decision proof: Full Project Catalogue,"Select one artifact from Full Project Catalogue and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,instrumented proof set,4.06,Packet promotion decision proof: IC analyst portfolio build kit; skill taxonomy S01-S26,"Select one artifact from IC analyst portfolio build kit; skill taxonomy S01-S26 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,instrumented proof set,4.06,Packet promotion decision proof: IDDD Bibliographic Inventory,"Select one artifact from IDDD Bibliographic Inventory and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),instrumented proof set,4.06,Packet promotion decision proof: Lossless Synthesis (Magnum Opus Scriptorium),"Select one artifact from Lossless Synthesis (Magnum Opus Scriptorium) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,instrumented proof set,4.06,Counterintelligence analytic-variable proof: Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/...,"Take one intelligence or counterintelligence artifact from Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,instrumented proof set,4.12,Concept-to-theory lexicon proof: 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,"Promote one term from 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories into definition, misuse boundary, source warrant, analytic example, and mini-theory candidate.","term record, definition, source warrant, example, misuse warning, and theory-promotion decision","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",instrumented proof set,4.12,"Packet promotion decision proof: 50-entry curated arsenal (of planned 1,000)","Select one artifact from 50-entry curated arsenal (of planned 1,000) and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),instrumented proof set,4.12,Professional capability evidence-router: 500-role ranked search universe (250 federal + 250 private),"Translate one capability item from 500-role ranked search universe (250 federal + 250 private) into skill evidence, proof artifact, readiness gap, and next work product without making unsupported employment claims.","skill claim, evidence artifact, readiness gap, next proof object, and public wording boundary","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,instrumented proof set,4.12,Structured-analytic technique replay: AR-SAT Room,"Select one method or template from AR-SAT Room and run it against a concrete analytic question, showing input evidence, technique sequence, analyst intervention, and final claim boundary.","technique sequence, evidence table, analyst delta, confidence boundary, and misuse warning","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,instrumented proof set,4.12,Counterintelligence analytic-variable proof: Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,"Take one intelligence or counterintelligence artifact from Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,instrumented proof set,4.12,Packet promotion decision proof: Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #...,"Select one artifact from Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,instrumented proof set,4.12,Room instrument transition proof: Counter-Idiom Lab,"Select one room or instrument promise from Counter-Idiom Lab and show the transition from intake to action, state update, review gate, and output.","room input, instrument action, state change, review gate, and output artifact","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,instrumented proof set,4.12,Packet promotion decision proof: Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,"Select one artifact from Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-internal-operating-support-003,Internal Operating Support Packet 003,instrumented proof set,4.14,Packet promotion decision proof: Internal Operating Support Packet 003,"Select one artifact from Internal Operating Support Packet 003 and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
