project_id,product_name,evidence_standard,must_capture_next,tests_required,blocking_gaps,proof_needed_before_fully_operational_claim
mb-internal-operating-support-015,Internal Operating Support Packet 015,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-016,Internal Operating Support Packet 016,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-017,Internal Operating Support Packet 017,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-018,Internal Operating Support Packet 018,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-019,Internal Operating Support Packet 019,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-020,Internal Operating Support Packet 020,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-021,Internal Operating Support Packet 021,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-022,Internal Operating Support Packet 022,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-023,Internal Operating Support Packet 023,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-024,Internal Operating Support Packet 024,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-025,Internal Operating Support Packet 025,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-026,Internal Operating Support Packet 026,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-027,Internal Operating Support Packet 027,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-028,Internal Operating Support Packet 028,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-029,Internal Operating Support Packet 029,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-030,Internal Operating Support Packet 030,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-031,Internal Operating Support Packet 031,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-032,Internal Operating Support Packet 032,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-033,Internal Operating Support Packet 033,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-034,Internal Operating Support Packet 034,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-035,Internal Operating Support Packet 035,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-internal-operating-support-036,Internal Operating Support Packet 036,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),"Argument outline, chapter or section text, source state, revision protocol, continuity checks, reader-facing sample, and editorial acceptance criteria.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)","Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)","Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
native-africa,Colonial Encounter in Africa,"Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
native-aifailure-tax,AI Failure Taxonomy,"Input, method rule, analyst/model action, output schema, scoring or review gate, calibration example, falsifier, and repeatable demonstration.","Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
