project_id,product_name,build_tranche,binding_count,source_count,source_roles,modules_strengthened,source_strategy,source_utilization_gap,next_source_build_step
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-os-handoff-2026,Doctrine Forge Codex,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,T3 governed content system,17,3,domain grounding | evaluation standard | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-east-asia,East Asian War and Strategic Tradition,T2 platform module,17,1,technical mechanism,state model,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-emt,Emergency Triage Simulator,T4 portfolio-backed research surface,17,1,method authority,review gate,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-etanalysis,Emerging Technology Analysis,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,T2 platform module,17,3,counter-source or limitation | domain grounding | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-fwanalysis,Foreign Warning Analysis,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-fractal-keep-handoff-v1,Fractal Keep,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",T2 platform module,17,1,method authority,state model,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-portfolio-index,Full Project Catalogue,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,T3 governed content system,17,3,domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-os-glass-station-handoff,Glass Station,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-hearthglass-handoff-v1,HearthGlass,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-hsanalysis,Homeland Security Analysis,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-cicc,ICC Complementarity Case Room,T4 portfolio-backed research surface,17,4,close-read requirement | domain grounding | evaluation standard | method authority,input fixture | review gate,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,T2 platform module,17,1,technical mechanism,state model,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-insinuationengineroom-handoff-done,Insinuation Engine,T3 governed content system,17,3,domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-icanalysis,Intelligence Community Analysis,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-lab-continuation-handoff-pack-2026-04-14,Introduces Vivarium codename; contradiction-graph table,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-lab-handoff-package-2026-04-17,"Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Workspace Restore""",T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-tranche1-handoff-package-2026-04-11,Leanest blueprint-only; only with named rollback doc,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),T2 platform module,17,2,domain grounding | technical mechanism,state model,"Use sources to test retrieval as scholarly warrant rather than as fluent search. The proof must show corpus boundary, retrieved passage, evidence score, negative-space finding, abstention case, and claim boundary.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
master-bundle-atlas,Master Bundle Packet Promotion Atlas,T1 flagship operational demonstrator,17,11,close-read requirement | method authority | technical mechanism,packet registry,"Use sources to govern packet promotion: identity, provenance, extraction status, authority level, project route, duplicate risk, and the next build decision for each bundle item.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-master-bundle-pages,Master Bundle Pages,T3 governed content system,17,3,domain grounding | method authority | technical mechanism,item registry,"Use sources to govern packet promotion: identity, provenance, extraction status, authority level, project route, duplicate risk, and the next build decision for each bundle item.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-mongol,Mongol Empire Military Systems,T2 platform module,17,2,counter-source or limitation | technical mechanism,state model,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-tranche-ii-handoff-pack-2026-04-15,"Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands",T2 platform module,17,1,method authority,state model,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-build02-final-proper-handoff-2026-04-11,Only one WITHOUT the 802 KB nested archive; Build 02 scope,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",T2 platform module,17,2,close-read requirement | technical mechanism,state model,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-proper-handoff-package-2026-04-11,Only one with 07_Derivative_Handoff/; richest SQL DDL,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-execution-ready-handoff-archive-2026-04-11,Only one with Build_02-Build_05 sequenced operator guides,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-phase-iii-a-handoff-2026-04-11,"Only one with Shadi_SAT_Seed.json + ""Phase III-A"" naming",T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-handoff-package-v1-2026-04-11,Only one with V1_ROOM_CONSTITUTION.md,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-mideast,Ottoman Palestine and Early Zionism,T2 platform module,17,1,technical mechanism,state model,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-psanalysis,Political Strategy Analysis,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-phaseii-handoff-2026-04-14,Posture Compass 5-axis instrument; framing_tensions/rival_framing columns,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-prism-chamber-murano-ready-package-2026-04-14,Prism Chamber,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-os-prism-foundry-handoff,Prism Foundry,T2 platform module,17,1,technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-os-prism-scriptorium-handoff-v1,Prism Scriptorium,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-prismatic-agora-handoff-v1-0-done,Prismatic Agora,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
row1,Quantitative Capstone - quantitative arm of the AI-corruption capstone study,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-capstone-quantitative,Quantitative Capstone Workbench,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-redteam-rc1-2026-04-14,RC1 wrapper; front-loaded 00_RC_Handoff/,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-respite,Recovery Respite Facility Operations,T4 portfolio-backed research surface,17,1,method authority,review gate,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,T3 governed content system,17,1,method authority,item registry,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,T3 governed content system,17,2,adversarial model | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,T3 governed content system,17,1,method authority,source registry,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-uscri,Refugee Resettlement Resource Allocation,T4 portfolio-backed research surface,17,1,method authority,review gate,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",T2 platform module,17,1,method authority,state model,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-room-handoff-v1,Room template v1,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-russia,Russia,T2 platform module,17,4,adversarial model | close-read requirement | domain grounding | technical mechanism,export gate | state model,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,T3 governed content system,17,1,method authority,item registry,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-script-atelier-handoff-package-v0-2026-04-17,Script Atelier (v0),T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-phase-ii-handoff-2026-04-15,Smallest doc-pack; paired .md + .rs/.ts draft patches,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-handoff-package-gpt-synth-2026-04-18,"Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks from red_team_* spine)",T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-speechcraft-studio-handoff,Speechcraft Studio,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
