source_candidate,project_count,binding_count,roles,modules,bibliographic_status,bibliographic_note,utilization_rule
Field Evaluation in the Intelligence and Counterintelligence Context,1,1,method authority,annex scenario registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Historical Dictionary of Signals Intelligence,1,1,technical mechanism,state database,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Human Rights and War Through Civilian Eyes Thomas W Smith,1,1,close-read requirement,item registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Innovation and the Arms Race How the United States and the Soviet Union Develop New Military Technologies Matthew Evangelista,1,1,close-read requirement,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Intelligence and Intelligence Analysis,1,1,method authority,annex scenario registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Killer in the Kremlin,1,1,method authority,source-family registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"National, European and Human Security: From Co-Existence to Convergence",1,1,source-to-output bridge,source state and close-read queue,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Peace Education From the Grassroots,1,1,technical mechanism,packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Principles of Microeconomics,1,1,technical mechanism,packet registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Propaganda - Made - to - Measure - How - Our - Vulnerabilities - Facilitate - Russian - Influence,1,1,method authority,source-family registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Putin Takes Crimea 2014: Grey-Zone Warfare Opens the Russia-Ukraine Conflict,1,1,method authority,source-family registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Return to the Motherland: Displaced Soviets in WWII and the Cold War,1,1,technical mechanism,source state and close-read queue,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"Statebuilding and Counterinsurgency in Oman Political, Military and Diplomatic Relations at the End of Empire James Worrall",1,1,counter-source or limitation,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Handbook of Communication Skills,1,1,technical mechanism,state database,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Cyberpsychology,1,1,technical mechanism,state database,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Electoral Systems,1,1,technical mechanism,state database,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Phenomenologies and Organization Studies,1,1,technical mechanism,state database,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The Oxford Handbook of Propaganda Studies,1,1,close-read requirement,source-admission gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
The SAGE Handbook of Research Methods in Political Science and International Relations Luigi Curini et al,1,1,close-read requirement,state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
War Changes Everything: Russia After Ukraine,1,1,method authority,source-family registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
