project_id,product_name,source_applications,extracted_sources,roles_covered,concept_families,next_source_action
mb-internal-operating-support-012,Internal Operating Support Packet 012,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-013,Internal Operating Support Packet 013,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-014,Internal Operating Support Packet 014,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-015,Internal Operating Support Packet 015,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-016,Internal Operating Support Packet 016,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-017,Internal Operating Support Packet 017,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-018,Internal Operating Support Packet 018,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-019,Internal Operating Support Packet 019,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-020,Internal Operating Support Packet 020,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-021,Internal Operating Support Packet 021,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-022,Internal Operating Support Packet 022,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-023,Internal Operating Support Packet 023,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-024,Internal Operating Support Packet 024,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-025,Internal Operating Support Packet 025,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-026,Internal Operating Support Packet 026,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-027,Internal Operating Support Packet 027,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-028,Internal Operating Support Packet 028,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-029,Internal Operating Support Packet 029,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-030,Internal Operating Support Packet 030,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-031,Internal Operating Support Packet 031,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-032,Internal Operating Support Packet 032,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-033,Internal Operating Support Packet 033,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-034,Internal Operating Support Packet 034,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-035,Internal Operating Support Packet 035,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-internal-operating-support-036,Internal Operating Support Packet 036,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-build02-final-proper-handoff-2026-04-11,Only one WITHOUT the 802 KB nested archive; Build 02 scope,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-continuation-handoff-2026-04-11,Smallest addendum wrapper; 5-surface Core Analytical Workflow,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-execution-ready-handoff-archive-2026-04-11,Only one with Build_02-Build_05 sequenced operator guides,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-handoff-package-gpt-synth-2026-04-18,"Smallest, pure-spec GPT bridge (9 files); 7-stage Ingest-Export workflow (breaks from red_team_* spine)",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-handoff-package-ready-2026-04-11,Cleanest 2-folder (GOVERNING/DERIVED); archive kept zipped,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-handoff-package-v1-2026-04-11,Only one with V1_ROOM_CONSTITUTION.md,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-lab-continuation-handoff-pack-2026-04-14,Introduces Vivarium codename; contradiction-graph table,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-lab-handoff-package-2026-04-17,"Largest consolidated (137 files); pre-merged Steps 3-7 bundles; ""Workspace Restore""",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-phase-ii-handoff-2026-04-15,Smallest doc-pack; paired .md + .rs/.ts draft patches,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-phase-iii-a-handoff-2026-04-11,"Only one with Shadi_SAT_Seed.json + ""Phase III-A"" naming",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-phaseii-handoff-2026-04-14,Posture Compass 5-axis instrument; framing_tensions/rival_framing columns,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-2026-04-14,"Strictest 4-quadrant authority layer; ""Durable Workspace Core""",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-2026-04-15,Triple-layer (zip+tree+addendum); 3-pass ledger,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-archive-2026-04-13,First fully-exploded Master_Package tree; Baltic Grey Zone materials,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-archive-2026-04-15,Largest (148 files); replay_overlay/ pinned to HEAD 039f2cd...; deterministic replay,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-package-2026-04-11,Only one with 07_Derivative_Handoff/; richest SQL DDL,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-packet-2026-04-11,"Smallest implementation-sufficient; flat 14-doc root; ""RT_PHASE_II_PLUS_WORKFLOW_A""",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-pass-02-done,Judgment/status pass; L-01..L-04 non-blocking limitations,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-pass1-2026-04-15,"specs/ folder: Rust param structs, SQL DDL, TS workspace contract; ""Analytical Core Expansion A""",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-proper-handoff-zip-2026-04-11,Committed Step 1 patch: unified diff + bundled zip + 8 Tauri commands,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-refraction-chamber-final-handoff-2026-04-14,Terminal packaging; full Refraction Chamber world design; --rt-* CSS namespace,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-tranche-ii-handoff-pack-2026-04-15,"Most self-contained; ""Analytical Memory and Provenance Spine""; 14 new commands",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-red-team-tranche1-handoff-package-2026-04-11,Leanest blueprint-only; only with named rollback doc,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-redteam-rc1-2026-04-14,RC1 wrapper; front-loaded 00_RC_Handoff/,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-redteam-tranche1-handoff-2026-04-15,Leanest pure-spec (16 KB); pages 11_OPEN_QUESTIONS,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-redteamlab-handoff-package-v1,Stub TSX/Rust + Blocker Register + Assumption Quarantine Ledger,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-muranoos-redteamlab-proper-handoff-package-2026-04-11,"Frozen ""Durable Analytical Core""; 12/13-field models per surface",6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-aifailure-tax,AI Failure Taxonomy,6,6,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge,intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-aigov-nav,AI Governance Navigator,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-aiintel-cycle,AI Intelligence Cycle,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-aiknowledge-prod,AI Knowledge Production,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-aimodel-assess,AI Model Assessment,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-aiosintnarr,AI OSINT Narrative Analysis,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-aiprompt-eng,AI Prompt Engineering,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-analyst-assurance-desk,Analyst Assurance Desk,6,6,adversarial model | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-applied-history-lab,Applied History Lab,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-capstone-quantitative,Quantitative Capstone Workbench,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-emt,Emergency Triage Simulator,6,6,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-habitat,Volunteer Build-Day Coordination,6,6,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge,"Russia/security-domain grounding | general source strengthening | interpretive, narrative, or democratic-formation frame | method/evaluation standard","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-hsanalysis,Homeland Security Analysis,6,6,adversarial model | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-london,Colonial Archive Explorer,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"Russia/security-domain grounding | general source strengthening | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-master-bundle-pages,Master Bundle Pages,6,6,close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
native-pharm,Vaccine Distribution Planner,6,6,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge,general source strengthening | intelligence-analysis method and warning | method/evaluation standard,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
