source_candidate,public_file_label,extraction_status,scan_scope,gap_reason,next_action
The Palgrave Handbook of Malicious Use of AI and Psychological Security,The Palgrave Handbook of Malicious Use of AI and Psychological Security - Evgeny Pashentsev.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Promise of Reason: Studies in the New Rhetoric,The Promise of Reason Studies in the New Rhetoric - Noemi Perelman Mattis.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Putin Interviews,The Putin Interviews - Robert Scheer.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Routledge Handbook of European Security Law and Policy Elena Conde et al,The Routledge Handbook of European Security Law and Policy - Elena Conde et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Routledge Handbook of European Security Law and Policy Elena Conde et al (2),The Routledge Handbook of European Security Law and Policy - Elena Conde et al (2).pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The Routledge Handbook of Gender and Security,The Routledge Handbook of Gender and Security - Caron E. Gentry et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The SAGE Handbook of Research Methods in Political Science and International Relations,The SAGE Handbook of Research Methods in Political Science and International Relations - Luigi Curini et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
The SAGE Handbook of Research Methods in Political Science and International Relations Luigi Curini et al,The SAGE Handbook of Research Methods in Political Science and International Relations - Luigi Curini et al.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
"Wartime Captivity in the 20th Century Archives, Stories, Memories Anne Marie Pathé et al","Wartime Captivity in the 20th Century Archives, Stories, Memories - Anne - Marie Pathé et al.pdf",extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
the routledge handbook of european security law and policy 9781138609990 9780429465918 compress,the - routledge - handbook - of - european - security - law - and - policy - 9781138609990 - 9780429465918 compress.pdf,extracted,capped_first_120_pages,manual close reading required,"Open the candidate source manually, verify bibliographic details, select exact passages, and attach the passage note to the relevant project proof contract."
