project_id,project_title,new_component,why_needed,input,operation,output,source_candidates,source_boundary,acceptance_test
mb-internal-operating-support-023,Internal Operating Support Packet 023,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-024,Internal Operating Support Packet 024,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-025,Internal Operating Support Packet 025,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-026,Internal Operating Support Packet 026,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-027,Internal Operating Support Packet 027,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-028,Internal Operating Support Packet 028,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-029,Internal Operating Support Packet 029,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-030,Internal Operating Support Packet 030,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-031,Internal Operating Support Packet 031,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-032,Internal Operating Support Packet 032,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-033,Internal Operating Support Packet 033,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-034,Internal Operating Support Packet 034,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-035,Internal Operating Support Packet 035,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-internal-operating-support-036,Internal Operating Support Packet 036,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-chamber-handoff,Chamber of Refractions,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-chamber-of-record-handoff,Chamber of Record,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-codex-prism-handoff-v1,Codex Prism,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) | (Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (2) | (Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (3),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-os-glass-station-handoff,Glass Station,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-os-handoff-2026,Doctrine Forge Codex,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-os-lossless-synthesis-room-handoff,Lossless Synthesis (Magnum Opus Scriptorium),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Attachment and Bonding A New Synthesis C. Sue Carter | Documents on the Rape of Nanking Timothy Brook,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-os-prism-foundry-handoff,Prism Foundry,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-os-prism-scriptorium-handoff-v1,Prism Scriptorium,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-prismatic-agora-handoff-v1-0-done,Prismatic Agora,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-room-handoff-v1,Room template v1,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-murano-speechcraft-studio-handoff,Speechcraft Studio,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action","Gancels Culinary Encyclopedia of Modern Cooking 1920 Gancel, Joseph. [from old catalog] | 043 Historical Documents Harvard Classics PDOC | Baking and Pastry Mastering the Art and Craft Culinary Institute Of America",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action","043 Historical Documents Harvard Classics PDOC | Beyond Hegel and Dialectic Speculation, Cult, and Comedy William Desmond | Dialectic of Enlightenment Theodor W. Adorno et al",metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself — consumed by every MuranoOS room handoff,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | 10. 222057482 Step By Step Massage Therapy Protocols for Common Conditions 2012 PDOC | Documents on the Rape of Nanking Timothy Brook,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | A Tradecraft Primer Structured Analytic Techniques | A Tradecraft Primer Structured Analytic Techniques (2),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-lossless-room-master-handoff-v1,Room Master (constitution),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Creating a Constitution Transcrip | Creating a Constitution Transcrip (2021 01 02 03 51 07 UTC),metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-prism-chamber-murano-ready-package-2026-04-14,Prism Chamber,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-build02-final-proper-handoff-2026-04-11,Only one WITHOUT the 802 KB nested archive; Build 02 scope,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-continuation-handoff-2026-04-11,Smallest addendum wrapper; 5-surface Core Analytical Workflow,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-continuation-handoff-2026-04-14,"Compact flat reference; 14 numbered authority docs; ""Workspace Depth I""",Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-execution-ready-handoff-archive-2026-04-11,Only one with Build_02-Build_05 sequenced operator guides,Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
mb-muranoos-red-team-fresh-handoff-2026-04-16,Cold-start bootstrap; 3-variant GPT upload prompt (analysis/impl/design),Artifact promotion-router demonstrator,This component forces the project to demonstrate what makes it non-generic and useful to an external reviewer.,"one representative project task, source item, scenario, or claim",run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,metadata-routed sources support proof design only until close-read evidence exists,A reviewer can see why this project could not be swapped with another page without losing the mechanism.
